name,total,Year,Month
Prospect Park West,38213,2016,11
Prospect Park West,35927,2016,12
Prospect Park West,32093,2017,1
Prospect Park West,36401,2017,2
Prospect Park West,35274,2017,3
Prospect Park West,63333,2017,4
Prospect Park West,68600,2017,5
Prospect Park West,83469,2017,6
Prospect Park West,85577,2017,7
Prospect Park West,81196,2017,8
Prospect Park West,82334,2017,9
Prospect Park West,77085,2017,10
Prospect Park West,55552,2017,11
Prospect Park West,39127,2017,12
Prospect Park West,32867,2018,1
Prospect Park West,36546,2018,2
Prospect Park West,42945,2018,3
Prospect Park West,58521,2018,4
Prospect Park West,74620,2018,5
Prospect Park West,83889,2018,6
Prospect Park West,84129,2018,7
Prospect Park West,77438,2018,8
Prospect Park West,75368,2018,9
Prospect Park West,71317,2018,10
Prospect Park West,51444,2018,11
Prospect Park West,43146,2018,12
Prospect Park West,41943,2019,1
Prospect Park West,38658,2019,2
Prospect Park West,50675,2019,3
Prospect Park West,67088,2019,4
Prospect Park West,77548,2019,5
Prospect Park West,91088,2019,6
Prospect Park West,83488,2019,7
Prospect Park West,84851,2019,8
Prospect Park West,88969,2019,9
Prospect Park West,72349,2019,10
Prospect Park West,58116,2019,11
Prospect Park West,41063,2019,12
Prospect Park West,51137,2020,1
Prospect Park West,46062,2020,2
Prospect Park West,56367,2020,3
Prospect Park West,48057,2020,4
Prospect Park West,93759,2020,5
Prospect Park West,111295,2020,6
Prospect Park West,104461,2020,7
Prospect Park West,114291,2020,8
Prospect Park West,121081,2020,9
Prospect Park West,110430,2020,10
Prospect Park West,88670,2020,11
Prospect Park West,56830,2020,12
Prospect Park West,61076,2021,1
Prospect Park West,37846,2021,2
Prospect Park West,75682,2021,3
Prospect Park West,90238,2021,4
Prospect Park West,108243,2021,5
Manhattan Bridge Ped Path,1341,2013,12
Manhattan Bridge Ped Path,1219,2014,1
Manhattan Bridge Ped Path,1095,2014,2
Manhattan Bridge Ped Path,1992,2014,3
Manhattan Bridge Ped Path,3539,2014,4
Manhattan Bridge Ped Path,4569,2014,5
Manhattan Bridge Ped Path,4845,2014,6
Manhattan Bridge Ped Path,5357,2014,7
Manhattan Bridge Ped Path,4827,2014,8
Manhattan Bridge Ped Path,3604,2014,9
Manhattan Bridge Ped Path,3005,2014,10
Manhattan Bridge Ped Path,1922,2014,11
Manhattan Bridge Ped Path,1707,2014,12
Manhattan Bridge Ped Path,1270,2015,1
Manhattan Bridge Ped Path,871,2015,2
Manhattan Bridge Ped Path,1739,2015,3
Manhattan Bridge Ped Path,3687,2015,4
Manhattan Bridge Ped Path,5392,2015,5
Manhattan Bridge Ped Path,5006,2015,6
Manhattan Bridge Ped Path,6282,2015,7
Manhattan Bridge Ped Path,6839,2015,8
Manhattan Bridge Ped Path,6027,2015,9
Manhattan Bridge Ped Path,4667,2015,10
Manhattan Bridge Ped Path,3572,2015,11
Manhattan Bridge Ped Path,2936,2015,12
Manhattan Bridge Ped Path,1994,2016,1
Manhattan Bridge Ped Path,1959,2016,2
Manhattan Bridge Ped Path,3579,2016,3
Manhattan Bridge Ped Path,4566,2016,4
Manhattan Bridge Ped Path,5312,2016,5
Manhattan Bridge Ped Path,6113,2016,6
Manhattan Bridge Ped Path,6278,2016,7
Manhattan Bridge Ped Path,6701,2016,8
Manhattan Bridge Ped Path,6343,2016,9
Manhattan Bridge Ped Path,5024,2016,10
Manhattan Bridge Ped Path,4040,2016,11
Manhattan Bridge Ped Path,2990,2016,12
Manhattan Bridge Ped Path,2647,2017,1
Manhattan Bridge Ped Path,3150,2017,2
Manhattan Bridge Ped Path,2736,2017,3
Manhattan Bridge Ped Path,5385,2017,4
Manhattan Bridge Ped Path,6060,2017,5
Manhattan Bridge Ped Path,6716,2017,6
Manhattan Bridge Ped Path,7474,2017,7
Manhattan Bridge Ped Path,7990,2017,8
Manhattan Bridge Ped Path,7430,2017,9
Manhattan Bridge Ped Path,7517,2017,10
Manhattan Bridge Ped Path,4432,2017,11
Manhattan Bridge Ped Path,2904,2017,12
Manhattan Bridge Ped Path,2469,2018,1
Manhattan Bridge Ped Path,3145,2018,2
Manhattan Bridge Ped Path,3466,2018,3
Manhattan Bridge Ped Path,4640,2018,4
Manhattan Bridge Ped Path,6673,2018,5
Manhattan Bridge Ped Path,7920,2018,6
Manhattan Bridge Ped Path,7015,2018,7
Manhattan Bridge Ped Path,6397,2018,8
Manhattan Bridge Ped Path,6007,2018,9
Manhattan Bridge Ped Path,5496,2018,10
Manhattan Bridge Ped Path,3624,2018,11
Manhattan Bridge Ped Path,2994,2018,12
Manhattan Bridge Ped Path,2404,2019,1
Manhattan Bridge Ped Path,2561,2019,2
Manhattan Bridge Ped Path,3539,2019,3
Manhattan Bridge Ped Path,5190,2019,4
Manhattan Bridge Ped Path,5909,2019,5
Manhattan Bridge Ped Path,6485,2019,6
Manhattan Bridge Ped Path,6959,2019,7
Manhattan Bridge Ped Path,7050,2019,8
Manhattan Bridge Ped Path,6911,2019,9
Manhattan Bridge Ped Path,5164,2019,10
Manhattan Bridge Ped Path,3380,2019,11
Manhattan Bridge Ped Path,2386,2019,12
Manhattan Bridge Ped Path,2895,2020,1
Manhattan Bridge Ped Path,2635,2020,2
Manhattan Bridge Ped Path,3793,2020,3
Manhattan Bridge Ped Path,3801,2020,4
Manhattan Bridge Ped Path,7886,2020,5
Manhattan Bridge Ped Path,10499,2020,6
Manhattan Bridge Ped Path,9463,2020,7
Manhattan Bridge Ped Path,9628,2020,8
Manhattan Bridge Ped Path,9380,2020,9
Manhattan Bridge Ped Path,7669,2020,10
Manhattan Bridge Ped Path,5658,2020,11
Manhattan Bridge Ped Path,3516,2020,12
Manhattan Bridge Ped Path,3414,2021,1
Manhattan Bridge Ped Path,2111,2021,2
Manhattan Bridge Ped Path,4767,2021,3
Manhattan Bridge Ped Path,5395,2021,4
Manhattan Bridge Ped Path,6279,2021,5
Williamsburg Bridge Bike Path,54546,2013,12
Williamsburg Bridge Bike Path,41642,2014,1
Williamsburg Bridge Bike Path,34232,2014,2
Williamsburg Bridge Bike Path,74067,2014,3
Williamsburg Bridge Bike Path,134126,2014,4
Williamsburg Bridge Bike Path,181350,2014,5
Williamsburg Bridge Bike Path,201030,2014,6
Williamsburg Bridge Bike Path,204908,2014,7
Williamsburg Bridge Bike Path,209122,2014,8
Williamsburg Bridge Bike Path,197308,2014,9
Williamsburg Bridge Bike Path,164518,2014,10
Williamsburg Bridge Bike Path,96011,2014,11
Williamsburg Bridge Bike Path,64482,2014,12
Williamsburg Bridge Bike Path,42082,2015,1
Williamsburg Bridge Bike Path,25476,2015,2
Williamsburg Bridge Bike Path,63081,2015,3
Williamsburg Bridge Bike Path,150915,2015,4
