,zip_code,march_20,april_20,diff,diffpct
0,10314,46899,47457,-558,-1.18
1,10312,36477,36856,-379,-1.03
2,10306,31112,31092,20,0.06
3,11234,28762,28670,92,0.32
4,11385,25418,25295,123,0.49
5,11236,23100,22809,291,1.28
6,11377,21844,21525,319,1.48
7,11434,21045,20789,256,1.23
8,11357,20935,21231,-296,-1.39
9,11229,20894,20903,-9,-0.04
10,11355,20659,20763,-104,-0.50
11,10305,20611,20799,-188,-0.90
12,11375,20559,20633,-74,-0.36
13,10309,19893,20116,-223,-1.11
14,10469,18844,18852,-8,-0.04
15,10304,18827,18697,130,0.70
16,11365,18165,18328,-163,-0.89
17,11214,18103,18028,75,0.42
18,11235,17712,17682,30,0.17
19,11368,17647,17241,406,2.35
20,11373,17457,16989,468,2.75
21,11364,17428,17743,-315,-1.78
22,11230,17346,17062,284,1.66
23,11223,17092,16960,132,0.78
24,11209,16863,16702,161,0.96
25,10466,16771,16525,246,1.49
26,11354,16592,16687,-95,-0.57
27,11358,16431,16496,-65,-0.39
28,10465,16382,16553,-171,-1.03
29,10308,16152,16339,-187,-1.14
30,11413,16146,16003,143,0.89
31,11420,16033,15964,69,0.43
32,10467,15816,15541,275,1.77
33,10301,15686,15526,160,1.03
34,10463,15613,15434,179,1.16
35,11208,14979,14395,584,4.06
36,11379,14753,14872,-119,-0.80
37,10462,14733,14601,132,0.90
38,11204,14691,14692,-1,-0.01
39,10461,14579,14593,-14,-0.10
40,10473,14501,14481,20,0.14
41,11207,14440,13801,639,4.63
42,11691,14429,14462,-33,-0.23
43,11203,14303,14143,160,1.13
44,11432,14095,13812,283,2.05
45,11210,13968,13937,31,0.22
46,11218,13886,13476,410,3.04
47,11220,13800,13402,398,2.97
48,11435,13732,13472,260,1.93
49,11367,13428,13578,-150,-1.10
50,11378,13236,13390,-154,-1.15
51,11412,13135,13022,113,0.87
52,11361,12836,13013,-177,-1.36
53,11419,12770,12733,37,0.29
54,10475,12678,12660,18,0.14
55,11219,12585,12476,109,0.87
56,11414,12491,12811,-320,-2.50
57,11215,12472,11407,1065,9.34
58,11226,12458,11782,676,5.74
59,11422,12413,12465,-52,-0.42
60,11374,11962,11961,1,0.01
61,11228,11920,12118,-198,-1.63
62,11372,11744,11259,485,4.31
63,10025,11518,11132,386,3.47
64,10310,11469,11356,113,1.00
65,11105,11429,11397,32,0.28
66,11421,11298,11255,43,0.38
67,11212,11153,10707,446,4.17
68,10303,11058,10907,151,1.38
69,10002,10509,10424,85,0.82
70,11221,10319,9646,673,6.98
71,11201,10276,9372,904,9.65
72,11423,10194,10196,-2,-0.02
73,11427,10009,10216,-207,-2.03
74,11360,9991,10207,-216,-2.12
75,11356,9891,9837,54,0.55
76,11418,9850,9630,220,2.28
77,11369,9725,9746,-21,-0.22
78,11417,9664,9725,-61,-0.63
79,11233,9608,9098,510,5.61
80,10472,9593,9430,163,1.73
81,11362,9574,9782,-208,-2.13
82,11206,9499,8973,526,5.86
83,11429,9302,9240,62,0.67
84,11224,9265,9189,76,0.83
85,10128,9258,8905,353,3.96
86,10024,9148,8745,403,4.61
87,11433,9069,8805,264,3.00
88,10456,9065,8774,291,3.32
89,10023,8954,8488,466,5.49
90,11238,8847,7677,1170,15.24
91,11426,8720,8861,-141,-1.59
92,10029,8603,8298,305,3.68
93,10468,8602,8336,266,3.19
94,11411,8489,8600,-111,-1.29
95,10307,8478,8562,-84,-0.98
96,10458,8469,8268,201,2.43
97,11211,8426,7790,636,8.16
98,10453,8313,8151,162,1.99
99,11694,8278,8333,-55,-0.66
100,10302,8226,8102,124,1.53
101,11370,8141,8154,-13,-0.16
102,11101,8070,7513,557,7.41
103,10457,7997,7823,174,2.22
104,11213,7990,7672,318,4.14
105,11428,7939,7946,-7,-0.09
106,10460,7915,7649,266,3.48
107,10452,7808,7213,595,8.25
108,11222,7665,7060,605,8.57
109,11106,7664,7459,205,2.75
110,11225,7622,7334,288,3.93
