,Make
HONDA,284561
TOYOT,273760
NISSA,193234
FORD ,106750
JEEP ,87407
CHEVR,79614
ME/BE,79350
BMW  ,75893
HYUND,74530
LEXUS,64899
SUBAR,55591
ACURA,49362
VOLKS,39071
DODGE,38686
INFIN,35731
AUDI ,32748
MAZDA,30880
KIA  ,29718
CHRYS,26540
GMC  ,19353
VOLVO,16983
CADIL,16304
LA/RO,14924
LINCO,12550
MITSU,12089
BUICK,11291
PORSC,8530
MINI ,7256
MERCU,7010
JAGUA,3816
PONTI,3803
SATUR,3520
TESLA,3446
FIAT ,2814
SUZUK,2177
SMART,1855
SAAB ,1597
AL/RO,1391
RAM  ,1370
MASER,1318
OLDSM,1280
HUMME,810
PLYMO,693
BENTL,518
GENES,472
FERRA,445
ISUZU,418
FREIG,241
AS/MA,240
RO/RO,225
GEO  ,163
MG   ,144
SPRIN,109
WINNE,103
LAMBO,103
DATSU,89
CHEV ,83
AMERI,78
TRIUM,65
MCLAR,63
CHEVY,48
MERCE,47
LOTUS,45
OLDS ,38
INTER,37
AUSTI,36
LANDR,36
COACH,34
MERZ ,32
WILLY,28
KI/MO,28
TOYTO,28
THOR ,27
PONT ,25
DAEWO,24
MGB  ,24
VW   ,23
VOLK ,22
STARC,19
AM/GE,19
EAGLE,19
CUSTO,18
MERC ,17
CITRO,16
PLYM ,16
PORSH,16
SUBUR,16
STUDE,15
MEBE ,14
ALFA ,14
PORS ,13
AMC  ,13
AU/HE,13
CHEVE,13
SUBA ,13
CHERV,13
MO/VE,12
PORCH,11
ROVER,11
TOYOY,11
THOMA,11
HYUN ,11
CAD  ,11
HOND ,11
TOYO ,10
AIRST,10
NISS ,10
LAND ,10
ITASC,10
PEUGE,10
CHE  ,10
ROLLS,10
MAYBA,9
MGA  ,9
HODNA,9
CHECK,8
CADI ,8
DELOR,8
FOR  ,8
WORKH,8
MORRI,8
LANCI,8
JAYCO,8
ELDOR,8
FO/RI,7
EXCAL,7
JENSE,7
MORGA,7
RA/RO,7
ALFAR,7
LA/RA,7
HOLID,6
GEORG,6
WINNI,6
LNDR ,6
SUNBE,6
MERKU,6
REDHA,6
SUBAU,6
FLEET,6
ASTON,6
TIOGA,6
CAMRY,5
ALLEG,5
BL/BI,5
CHVER,5
GULFS,5
TRIU ,5
PACKA,5
AMER ,5
FROD ,5
FRHT ,5
SUNSE,5
MONAC,5
BUGAT,5
VPG  ,5
MVONE,5
VOVLO,5
CHATE,5
RENAU,5
ROADT,5
AVANT,5
RAMBL,5
WINO ,4
DATS ,4
DODG ,4
ACUR ,4
TOYT ,4
ELKHA,4
CHRY ,4
FLAIR,4
BOUND,4
PUCH ,4
FARBE,4
FO/WI,4
ACE  ,4
VOLV ,4
MADZA,4
CHAMP,4
DAMON,4
WINN ,4
JAGUR,4
FORDQ,3
HURRI,3
LASAL,3
HO/RA,3
JEEPS,3
SUBN ,3
MISTU,3
LE/TR,3
OLDMO,3
ULTRA,3
AIRS ,3
IMPER,3
JAGU ,3
LEXSU,3
SUABR,3
MAJES,3
FORES,3
MOKE ,3
CHYRS,3
THUND,3
