,index,Reg Valid Date,date,month
244,2020-01-02,2982,2020-01-02,1
363,2020-01-03,2415,2020-01-03,1
600,2020-01-04,1080,2020-01-04,1
667,2020-01-05,807,2020-01-05,1
160,2020-01-06,3598,2020-01-06,1
285,2020-01-07,2752,2020-01-07,1
352,2020-01-08,2467,2020-01-08,1
423,2020-01-09,2279,2020-01-09,1
397,2020-01-10,2333,2020-01-10,1
613,2020-01-11,1042,2020-01-11,1
683,2020-01-12,714,2020-01-12,1
303,2020-01-13,2670,2020-01-13,1
448,2020-01-14,2190,2020-01-14,1
437,2020-01-15,2229,2020-01-15,1
467,2020-01-16,2069,2020-01-16,1
389,2020-01-17,2346,2020-01-17,1
656,2020-01-18,884,2020-01-18,1
712,2020-01-19,589,2020-01-19,1
534,2020-01-20,1457,2020-01-20,1
73,2020-01-21,4096,2020-01-21,1
275,2020-01-22,2796,2020-01-22,1
307,2020-01-23,2650,2020-01-23,1
342,2020-01-24,2503,2020-01-24,1
575,2020-01-25,1189,2020-01-25,1
644,2020-01-26,944,2020-01-26,1
258,2020-01-27,2851,2020-01-27,1
219,2020-01-28,3178,2020-01-28,1
329,2020-01-29,2539,2020-01-29,1
293,2020-01-30,2729,2020-01-30,1
238,2020-01-31,3065,2020-01-31,1
563,2020-02-01,1276,2020-02-01,2
653,2020-02-02,896,2020-02-02,2
138,2020-02-03,3744,2020-02-03,2
151,2020-02-04,3661,2020-02-04,2
270,2020-02-05,2808,2020-02-05,2
332,2020-02-06,2524,2020-02-06,2
299,2020-02-07,2685,2020-02-07,2
559,2020-02-08,1315,2020-02-08,2
663,2020-02-09,841,2020-02-09,2
248,2020-02-10,2929,2020-02-10,2
255,2020-02-11,2859,2020-02-11,2
315,2020-02-12,2598,2020-02-12,2
364,2020-02-13,2414,2020-02-13,2
379,2020-02-14,2364,2020-02-14,2
569,2020-02-15,1212,2020-02-15,2
666,2020-02-16,819,2020-02-16,2
521,2020-02-17,1618,2020-02-17,2
87,2020-02-18,4032,2020-02-18,2
48,2020-02-19,4431,2020-02-19,2
169,2020-02-20,3551,2020-02-20,2
231,2020-02-21,3109,2020-02-21,2
527,2020-02-22,1541,2020-02-22,2
604,2020-02-23,1071,2020-02-23,2
175,2020-02-24,3538,2020-02-24,2
103,2020-02-25,3936,2020-02-25,2
222,2020-02-26,3158,2020-02-26,2
165,2020-02-27,3574,2020-02-27,2
107,2020-02-28,3926,2020-02-28,2
515,2020-02-29,1715,2020-02-29,2
570,2020-03-01,1210,2020-03-01,3
114,2020-03-02,3898,2020-03-02,3
198,2020-03-03,3367,2020-03-03,3
210,2020-03-04,3285,2020-03-04,3
189,2020-03-05,3431,2020-03-05,3
220,2020-03-06,3162,2020-03-06,3
535,2020-03-07,1448,2020-03-07,3
625,2020-03-08,985,2020-03-08,3
149,2020-03-09,3674,2020-03-09,3
213,2020-03-10,3231,2020-03-10,3
194,2020-03-11,3382,2020-03-11,3
215,2020-03-12,3211,2020-03-12,3
177,2020-03-13,3524,2020-03-13,3
539,2020-03-14,1438,2020-03-14,3
632,2020-03-15,970,2020-03-15,3
242,2020-03-16,3016,2020-03-16,3
278,2020-03-17,2785,2020-03-17,3
337,2020-03-18,2518,2020-03-18,3
305,2020-03-19,2666,2020-03-19,3
428,2020-03-20,2258,2020-03-20,3
611,2020-03-21,1053,2020-03-21,3
702,2020-03-22,618,2020-03-22,3
532,2020-03-23,1471,2020-03-23,3
384,2020-03-24,2353,2020-03-24,3
410,2020-03-25,2299,2020-03-25,3
518,2020-03-26,1666,2020-03-26,3
598,2020-03-27,1088,2020-03-27,3
695,2020-03-28,650,2020-03-28,3
719,2020-03-29,566,2020-03-29,3
564,2020-03-30,1256,2020-03-30,3
454,2020-03-31,2124,2020-03-31,3
529,2020-04-01,1518,2020-04-01,4
568,2020-04-02,1220,2020-04-02,4
588,2020-04-03,1148,2020-04-03,4
680,2020-04-04,721,2020-04-04,4
700,2020-04-05,626,2020-04-05,4
455,2020-04-06,2118,2020-04-06,4
408,2020-04-07,2308,2020-04-07,4
544,2020-04-08,1408,2020-04-08,4
574,2020-04-09,1189,2020-04-09,4
602,2020-04-10,1076,2020-04-10,4
690,2020-04-11,684,2020-04-11,4
704,2020-04-12,610,2020-04-12,4
580,2020-04-13,1175,2020-04-13,4
576,2020-04-14,1181,2020-04-14,4
533,2020-04-15,1463,2020-04-15,4
557,2020-04-16,1324,2020-04-16,4
578,2020-04-17,1179,2020-04-17,4
669,2020-04-18,791,2020-04-18,4
710,2020-04-19,591,2020-04-19,4
528,2020-04-20,1526,2020-04-20,4
520,2020-04-21,1657,2020-04-21,4
493,2020-04-22,1861,2020-04-22,4
507,2020-04-23,1760,2020-04-23,4
457,2020-04-24,2091,2020-04-24,4
553,2020-04-25,1363,2020-04-25,4
607,2020-04-26,1065,2020-04-26,4
470,2020-04-27,2044,2020-04-27,4
273,2020-04-28,2797,2020-04-28,4
433,2020-04-29,2234,2020-04-29,4
246,2020-04-30,2940,2020-04-30,4
349,2020-05-01,2470,2020-05-01,5
537,2020-05-02,1446,2020-05-02,5
579,2020-05-03,1178,2020-05-03,5
135,2020-05-04,3759,2020-05-04,5
72,2020-05-05,4115,2020-05-05,5
205,2020-05-06,3332,2020-05-06,5
218,2020-05-07,3178,2020-05-07,5
430,2020-05-08,2245,2020-05-08,5
556,2020-05-09,1342,2020-05-09,5
660,2020-05-10,859,2020-05-10,5
227,2020-05-11,3137,2020-05-11,5
356,2020-05-12,2447,2020-05-12,5
312,2020-05-13,2614,2020-05-13,5
314,2020-05-14,2599,2020-05-14,5
334,2020-05-15,2521,2020-05-15,5
543,2020-05-16,1416,2020-05-16,5
587,2020-05-17,1152,2020-05-17,5
240,2020-05-18,3035,2020-05-18,5
294,2020-05-19,2726,2020-05-19,5
267,2020-05-20,2818,2020-05-20,5
344,2020-05-21,2497,2020-05-21,5
355,2020-05-22,2450,2020-05-22,5
531,2020-05-23,1475,2020-05-23,5
664,2020-05-24,827,2020-05-24,5
538,2020-05-25,1439,2020-05-25,5
56,2020-05-26,4283,2020-05-26,5
250,2020-05-27,2914,2020-05-27,5
249,2020-05-28,2922,2020-05-28,5
200,2020-05-29,3365,2020-05-29,5
463,2020-05-30,2075,2020-05-30,5
536,2020-05-31,1446,2020-05-31,5
55,2020-06-01,4297,2020-06-01,6
260,2020-06-02,2843,2020-06-02,6
212,2020-06-03,3241,2020-06-03,6
253,2020-06-04,2882,2020-06-04,6
292,2020-06-05,2731,2020-06-05,6
519,2020-06-06,1663,2020-06-06,6
623,2020-06-07,996,2020-06-07,6
26,2020-06-08,4970,2020-06-08,6
170,2020-06-09,3551,2020-06-09,6
51,2020-06-10,4396,2020-06-10,6
201,2020-06-11,3362,2020-06-11,6
192,2020-06-12,3405,2020-06-12,6
447,2020-06-13,2191,2020-06-13,6
550,2020-06-14,1369,2020-06-14,6
123,2020-06-15,3849,2020-06-15,6
171,2020-06-16,3543,2020-06-16,6
223,2020-06-17,3154,2020-06-17,6
237,2020-06-18,3073,2020-06-18,6
416,2020-06-19,2289,2020-06-19,6
492,2020-06-20,1864,2020-06-20,6
637,2020-06-21,963,2020-06-21,6
75,2020-06-22,4077,2020-06-22,6
0,2020-06-23,6986,2020-06-23,6
40,2020-06-24,4525,2020-06-24,6
89,2020-06-25,4005,2020-06-25,6
126,2020-06-26,3818,2020-06-26,6
373,2020-06-27,2378,2020-06-27,6
540,2020-06-28,1428,2020-06-28,6
27,2020-06-29,4953,2020-06-29,6
9,2020-06-30,5847,2020-06-30,6
42,2020-07-01,4513,2020-07-01,7
68,2020-07-02,4182,2020-07-02,7
235,2020-07-03,3081,2020-07-03,7
584,2020-07-04,1155,2020-07-04,7
595,2020-07-05,1095,2020-07-05,7
7,2020-07-06,6055,2020-07-06,7
11,2020-07-07,5798,2020-07-07,7
38,2020-07-08,4535,2020-07-08,7
84,2020-07-09,4054,2020-07-09,7
147,2020-07-10,3687,2020-07-10,7
477,2020-07-11,2007,2020-07-11,7
608,2020-07-12,1063,2020-07-12,7
116,2020-07-13,3894,2020-07-13,7
154,2020-07-14,3618,2020-07-14,7
153,2020-07-15,3620,2020-07-15,7
181,2020-07-16,3508,2020-07-16,7
239,2020-07-17,3042,2020-07-17,7
499,2020-07-18,1801,2020-07-18,7
648,2020-07-19,929,2020-07-19,7
144,2020-07-20,3714,2020-07-20,7
16,2020-07-21,5417,2020-07-21,7
69,2020-07-22,4157,2020-07-22,7
82,2020-07-23,4056,2020-07-23,7
141,2020-07-24,3729,2020-07-24,7
465,2020-07-25,2074,2020-07-25,7
582,2020-07-26,1169,2020-07-26,7
86,2020-07-27,4034,2020-07-27,7
41,2020-07-28,4516,2020-07-28,7
109,2020-07-29,3910,2020-07-29,7
58,2020-07-30,4273,2020-07-30,7
122,2020-07-31,3853,2020-07-31,7
443,2020-08-01,2215,2020-08-01,8
552,2020-08-02,1363,2020-08-02,8
23,2020-08-03,5031,2020-08-03,8
60,2020-08-04,4262,2020-08-04,8
93,2020-08-05,3993,2020-08-05,8
62,2020-08-06,4254,2020-08-06,8
185,2020-08-07,3475,2020-08-07,8
478,2020-08-08,1999,2020-08-08,8
590,2020-08-09,1108,2020-08-09,8
85,2020-08-10,4037,2020-08-10,8
164,2020-08-11,3576,2020-08-11,8
193,2020-08-12,3403,2020-08-12,8
204,2020-08-13,3344,2020-08-13,8
229,2020-08-14,3129,2020-08-14,8
495,2020-08-15,1846,2020-08-15,8
589,2020-08-16,1115,2020-08-16,8
101,2020-08-17,3947,2020-08-17,8
5,2020-08-18,6247,2020-08-18,8
66,2020-08-19,4229,2020-08-19,8
100,2020-08-20,3949,2020-08-20,8
195,2020-08-21,3379,2020-08-21,8
460,2020-08-22,2085,2020-08-22,8
597,2020-08-23,1094,2020-08-23,8
47,2020-08-24,4431,2020-08-24,8
52,2020-08-25,4391,2020-08-25,8
129,2020-08-26,3792,2020-08-26,8
121,2020-08-27,3862,2020-08-27,8
180,2020-08-28,3512,2020-08-28,8
417,2020-08-29,2288,2020-08-29,8
622,2020-08-30,1009,2020-08-30,8
24,2020-08-31,5023,2020-08-31,8
57,2020-09-01,4282,2020-09-01,9
136,2020-09-02,3757,2020-09-02,9
108,2020-09-03,3919,2020-09-03,9
77,2020-09-04,4073,2020-09-04,9
480,2020-09-05,1964,2020-09-05,9
603,2020-09-06,1073,2020-09-06,9
489,2020-09-07,1900,2020-09-07,9
14,2020-09-08,5520,2020-09-08,9
36,2020-09-09,4579,2020-09-09,9
25,2020-09-10,4988,2020-09-10,9
92,2020-09-11,3995,2020-09-11,9
459,2020-09-12,2085,2020-09-12,9
586,2020-09-13,1152,2020-09-13,9
53,2020-09-14,4364,2020-09-14,9
105,2020-09-15,3932,2020-09-15,9
127,2020-09-16,3797,2020-09-16,9
120,2020-09-17,3865,2020-09-17,9
124,2020-09-18,3838,2020-09-18,9
390,2020-09-19,2345,2020-09-19,9
591,2020-09-20,1106,2020-09-20,9
83,2020-09-21,4055,2020-09-21,9
4,2020-09-22,6512,2020-09-22,9
67,2020-09-23,4205,2020-09-23,9
54,2020-09-24,4312,2020-09-24,9
133,2020-09-25,3765,2020-09-25,9
468,2020-09-26,2053,2020-09-26,9
606,2020-09-27,1068,2020-09-27,9
64,2020-09-28,4242,2020-09-28,9
18,2020-09-29,5345,2020-09-29,9
30,2020-09-30,4857,2020-09-30,9
44,2020-10-01,4502,2020-10-01,10
132,2020-10-02,3767,2020-10-02,10
474,2020-10-03,2022,2020-10-03,10
573,2020-10-04,1192,2020-10-04,10
13,2020-10-05,5590,2020-10-05,10
45,2020-10-06,4479,2020-10-06,10
161,2020-10-07,3593,2020-10-07,10
71,2020-10-08,4120,2020-10-08,10
