GEO_ID,NAME,B11001_001E
id,Geographic Area Name,Estimate!!Total:
8600000US06390,ZCTA5 06390,40
8600000US10001,ZCTA5 10001,12997
8600000US10002,ZCTA5 10002,33459
8600000US10003,ZCTA5 10003,26043
8600000US10004,ZCTA5 10004,1777
8600000US10005,ZCTA5 10005,4363
8600000US10006,ZCTA5 10006,1729
8600000US10007,ZCTA5 10007,2802
8600000US10009,ZCTA5 10009,29764
8600000US10010,ZCTA5 10010,16815
8600000US10011,ZCTA5 10011,29089
8600000US10012,ZCTA5 10012,12181
8600000US10013,ZCTA5 10013,12026
8600000US10014,ZCTA5 10014,18013
8600000US10016,ZCTA5 10016,29200
8600000US10017,ZCTA5 10017,9663
8600000US10018,ZCTA5 10018,4727
8600000US10019,ZCTA5 10019,26158
8600000US10020,ZCTA5 10020,0
8600000US10021,ZCTA5 10021,23935
8600000US10022,ZCTA5 10022,17953
8600000US10023,ZCTA5 10023,34289
8600000US10024,ZCTA5 10024,28165
8600000US10025,ZCTA5 10025,41355
8600000US10026,ZCTA5 10026,15479
8600000US10027,ZCTA5 10027,23956
8600000US10028,ZCTA5 10028,24640
8600000US10029,ZCTA5 10029,31470
8600000US10030,ZCTA5 10030,12688
8600000US10031,ZCTA5 10031,21744
8600000US10032,ZCTA5 10032,21226
8600000US10033,ZCTA5 10033,19833
8600000US10034,ZCTA5 10034,16156
8600000US10035,ZCTA5 10035,14524
8600000US10036,ZCTA5 10036,17260
8600000US10037,ZCTA5 10037,9581
8600000US10038,ZCTA5 10038,10461
8600000US10039,ZCTA5 10039,11368
8600000US10040,ZCTA5 10040,16410
8600000US10044,ZCTA5 10044,4774
8600000US10065,ZCTA5 10065,15255
8600000US10069,ZCTA5 10069,3230
8600000US10075,ZCTA5 10075,11388
8600000US10103,ZCTA5 10103,0
8600000US10110,ZCTA5 10110,0
8600000US10111,ZCTA5 10111,0
8600000US10112,ZCTA5 10112,0
8600000US10115,ZCTA5 10115,0
8600000US10119,ZCTA5 10119,0
8600000US10128,ZCTA5 10128,30069
8600000US10152,ZCTA5 10152,0
8600000US10153,ZCTA5 10153,0
8600000US10154,ZCTA5 10154,0
8600000US10162,ZCTA5 10162,673
8600000US10165,ZCTA5 10165,0
8600000US10167,ZCTA5 10167,0
8600000US10168,ZCTA5 10168,0
8600000US10169,ZCTA5 10169,0
8600000US10170,ZCTA5 10170,0
8600000US10171,ZCTA5 10171,0
8600000US10172,ZCTA5 10172,0
8600000US10173,ZCTA5 10173,0
8600000US10174,ZCTA5 10174,0
8600000US10177,ZCTA5 10177,0
8600000US10199,ZCTA5 10199,0
8600000US10271,ZCTA5 10271,0
8600000US10278,ZCTA5 10278,0
8600000US10279,ZCTA5 10279,18
8600000US10280,ZCTA5 10280,4558
8600000US10282,ZCTA5 10282,2291
8600000US10301,ZCTA5 10301,14467
8600000US10302,ZCTA5 10302,6090
8600000US10303,ZCTA5 10303,8268
8600000US10304,ZCTA5 10304,14603
8600000US10305,ZCTA5 10305,14565
8600000US10306,ZCTA5 10306,20189
8600000US10307,ZCTA5 10307,5271
8600000US10308,ZCTA5 10308,10544
8600000US10309,ZCTA5 10309,11523
8600000US10310,ZCTA5 10310,8526
8600000US10311,ZCTA5 10311,0
8600000US10312,ZCTA5 10312,21318
8600000US10314,ZCTA5 10314,30882
8600000US10451,ZCTA5 10451,19522
8600000US10452,ZCTA5 10452,26437
8600000US10453,ZCTA5 10453,27774
8600000US10454,ZCTA5 10454,13429
8600000US10455,ZCTA5 10455,14427
8600000US10456,ZCTA5 10456,30860
8600000US10457,ZCTA5 10457,24777
8600000US10458,ZCTA5 10458,27581
8600000US10459,ZCTA5 10459,16868
8600000US10460,ZCTA5 10460,20778
8600000US10461,ZCTA5 10461,18862
8600000US10462,ZCTA5 10462,29536
8600000US10463,ZCTA5 10463,28752
8600000US10464,ZCTA5 10464,1851
8600000US10465,ZCTA5 10465,15831
8600000US10466,ZCTA5 10466,24216
8600000US10467,ZCTA5 10467,37042
8600000US10468,ZCTA5 10468,26328
8600000US10469,ZCTA5 10469,22299
8600000US10470,ZCTA5 10470,6198
8600000US10471,ZCTA5 10471,8817
8600000US10472,ZCTA5 10472,21835
8600000US10473,ZCTA5 10473,21189
8600000US10474,ZCTA5 10474,3623
8600000US10475,ZCTA5 10475,18902
8600000US10501,ZCTA5 10501,423
8600000US10502,ZCTA5 10502,1962
8600000US10503,ZCTA5 10503,111
8600000US10504,ZCTA5 10504,2748
8600000US10505,ZCTA5 10505,368
8600000US10506,ZCTA5 10506,1850
8600000US10507,ZCTA5 10507,2209
8600000US10509,ZCTA5 10509,6863
8600000US10510,ZCTA5 10510,3722
8600000US10511,ZCTA5 10511,746
8600000US10512,ZCTA5 10512,9350
8600000US10514,ZCTA5 10514,4072
8600000US10516,ZCTA5 10516,2122
8600000US10517,ZCTA5 10517,152
8600000US10518,ZCTA5 10518,396
8600000US10519,ZCTA5 10519,107
8600000US10520,ZCTA5 10520,5133
8600000US10522,ZCTA5 10522,3670
8600000US10523,ZCTA5 10523,2950
8600000US10524,ZCTA5 10524,1435
8600000US10526,ZCTA5 10526,685
8600000US10527,ZCTA5 10527,316
8600000US10528,ZCTA5 10528,4783
8600000US10530,ZCTA5 10530,5694
8600000US10532,ZCTA5 10532,1739
8600000US10533,ZCTA5 10533,2619
8600000US10535,ZCTA5 10535,122
8600000US10536,ZCTA5 10536,3593
8600000US10537,ZCTA5 10537,826
8600000US10538,ZCTA5 10538,5812
8600000US10541,ZCTA5 10541,9060
8600000US10543,ZCTA5 10543,7593
8600000US10545,ZCTA5 10545,0
8600000US10546,ZCTA5 10546,410
8600000US10547,ZCTA5 10547,2520
8600000US10548,ZCTA5 10548,1321
8600000US10549,ZCTA5 10549,5791
8600000US10550,ZCTA5 10550,13744
8600000US10552,ZCTA5 10552,8572
8600000US10553,ZCTA5 10553,3352
8600000US10560,ZCTA5 10560,1683
8600000US10562,ZCTA5 10562,11286
8600000US10566,ZCTA5 10566,9367
8600000US10567,ZCTA5 10567,6767
8600000US10570,ZCTA5 10570,4049
8600000US10573,ZCTA5 10573,12483
8600000US10576,ZCTA5 10576,1808
8600000US10577,ZCTA5 10577,829
8600000US10578,ZCTA5 10578,267
8600000US10579,ZCTA5 10579,3033
8600000US10580,ZCTA5 10580,5984
8600000US10583,ZCTA5 10583,13923
8600000US10588,ZCTA5 10588,1182
8600000US10589,ZCTA5 10589,3820
8600000US10590,ZCTA5 10590,2704
8600000US10591,ZCTA5 10591,8908
8600000US10594,ZCTA5 10594,1552
8600000US10595,ZCTA5 10595,2354
8600000US10596,ZCTA5 10596,454
8600000US10597,ZCTA5 10597,330
8600000US10598,ZCTA5 10598,10530
8600000US10601,ZCTA5 10601,5268
8600000US10603,ZCTA5 10603,7040
8600000US10604,ZCTA5 10604,3808
8600000US10605,ZCTA5 10605,7255
8600000US10606,ZCTA5 10606,5632
8600000US10607,ZCTA5 10607,2416
8600000US10701,ZCTA5 10701,23565
8600000US10703,ZCTA5 10703,7301
8600000US10704,ZCTA5 10704,12222
8600000US10705,ZCTA5 10705,14041
8600000US10706,ZCTA5 10706,3128
8600000US10707,ZCTA5 10707,3964
