"GEO_ID","id"
"NAME","Geographic Area Name"
"B11001_001E","Estimate!!Total:"
"B11001_001M","Margin of Error!!Total:"
"B11001_002E","Estimate!!Total:!!Family households:"
"B11001_002M","Margin of Error!!Total:!!Family households:"
"B11001_003E","Estimate!!Total:!!Family households:!!Married-couple family"
"B11001_003M","Margin of Error!!Total:!!Family households:!!Married-couple family"
"B11001_004E","Estimate!!Total:!!Family households:!!Other family:"
"B11001_004M","Margin of Error!!Total:!!Family households:!!Other family:"
"B11001_005E","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present"
"B11001_005M","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present"
"B11001_006E","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present"
"B11001_006M","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present"
"B11001_007E","Estimate!!Total:!!Nonfamily households:"
"B11001_007M","Margin of Error!!Total:!!Nonfamily households:"
"B11001_008E","Estimate!!Total:!!Nonfamily households:!!Householder living alone"
"B11001_008M","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone"
"B11001_009E","Estimate!!Total:!!Nonfamily households:!!Householder not living alone"
"B11001_009M","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone"
