ZIP,Population
6390,40
10001,12997
10002,33459
10003,26043
10004,1777
10005,4363
10006,1729
10007,2802
10009,29764
10010,16815
10011,29089
10012,12181
10013,12026
10014,18013
10016,29200
10017,9663
10018,4727
10019,26158
10020,0
10021,23935
10022,17953
10023,34289
10024,28165
10025,41355
10026,15479
10027,23956
10028,24640
10029,31470
10030,12688
10031,21744
10032,21226
10033,19833
10034,16156
10035,14524
10036,17260
10037,9581
10038,10461
10039,11368
10040,16410
10044,4774
10065,15255
10069,3230
10075,11388
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,30069
10152,0
10153,0
10154,0
10162,673
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,18
10280,4558
10282,2291
10301,14467
10302,6090
10303,8268
10304,14603
10305,14565
10306,20189
10307,5271
10308,10544
10309,11523
10310,8526
10311,0
10312,21318
10314,30882
10451,19522
10452,26437
10453,27774
10454,13429
10455,14427
10456,30860
10457,24777
10458,27581
10459,16868
10460,20778
10461,18862
10462,29536
10463,28752
10464,1851
10465,15831
10466,24216
10467,37042
10468,26328
10469,22299
10470,6198
10471,8817
10472,21835
10473,21189
10474,3623
10475,18902
10501,423
10502,1962
10503,111
10504,2748
10505,368
10506,1850
10507,2209
10509,6863
10510,3722
10511,746
10512,9350
10514,4072
10516,2122
10517,152
10518,396
10519,107
10520,5133
10522,3670
10523,2950
10524,1435
10526,685
10527,316
10528,4783
10530,5694
10532,1739
10533,2619
10535,122
10536,3593
10537,826
10538,5812
10541,9060
10543,7593
10545,0
10546,410
10547,2520
10548,1321
10549,5791
10550,13744
10552,8572
10553,3352
10560,1683
10562,11286
10566,9367
10567,6767
10570,4049
10573,12483
10576,1808
10577,829
10578,267
10579,3033
10580,5984
10583,13923
10588,1182
10589,3820
10590,2704
10591,8908
10594,1552
10595,2354
10596,454
10597,330
10598,10530
10601,5268
10603,7040
10604,3808
10605,7255
10606,5632
10607,2416
10701,23565
10703,7301
10704,12222
10705,14041
10706,3128
10707,3964
10708,8868
10709,3652
10710,9631
10801,14758
10803,4006
10804,5124
10805,7602
10901,8609
10910,0
10911,0
10913,1488
10914,115
10915,30
10916,1268
10917,527
10918,4167
10919,339
10920,2995
10921,1391
10922,623
10923,2759
10924,4334
10925,1713
10926,1335
10927,3733
10928,1719
10930,2919
10931,303
10932,50
10933,177
10940,18075
10941,4993
10950,12363
10952,9282
10953,58
10954,8303
10956,10402
10958,937
10960,6175
10962,1861
10963,971
10964,479
10965,5332
10968,1154
10969,456
10970,3564
10973,795
10974,1127
10975,101
10976,712
10977,16269
10979,76
10980,4798
10983,1961
10984,961
10985,49
10986,551
10987,1336
10988,235
10989,3407
10990,7469
10992,3244
10993,1583
10994,2630
10996,875
10998,967
11001,9113
11003,12208
11004,5248
11005,1315
11010,7832
11020,1845
11021,7800
11023,2926
11024,1999
11030,6291
11040,12958
11042,0
11050,10949
11096,2555
11101,13896
11102,12945
11103,15512
11104,11552
11105,15225
11106,16917
11109,2907
11201,28593
11203,28276
11204,23397
11205,16459
11206,31163
11207,33619
11208,33316
11209,29352
11210,21893
11211,40435
11212,31802
11213,25504
11214,31823
11215,28445
11216,24871
11217,18074
11218,24848
11219,24225
11220,27637
11221,31497
11222,17446
11223,27951
11224,18930
11225,24136
11226,37191
11228,15124
11229,30774
11230,30147
11231,15658
11232,8760
11233,30567
11234,31743
11235,32338
11236,33752
11237,17056
11238,25060
11239,6705
11351,0
11354,19925
11355,27771
11356,7501
