year,month,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender
2019,3,539,515,40.73912601,-73.98473765,514,40.73912601,-73.9851615,31838,1982,1
2019,4,605,515,40.73827428,-73.98490707,514,40.73804614,-73.9854617,30299,1982,1
2019,5,653,516,40.73726186,-73.98517977,515,40.73704984,-73.98583621,28782,1982,1
2019,6,683,517,40.73587678,-73.9851615,517,40.735445,-73.9854617,28996,1983,1
2019,7,658,514,40.73704984,-73.9851615,514,40.736502,-73.98564945,30997,1983,1
2019,8,674,513,40.73704984,-73.98564945,509,40.73652889,-73.98602213,30690,1984,1
2019,9,668,509,40.73704984,-73.98583621,508,40.73652889,-73.98620772,31591,1984,1
2019,10,617,509,40.73912601,-73.98517977,507,40.73827428,-73.98602213,32784,1983,1
2019,11,562,509,40.73912601,-73.98473765,507,40.73901691,-73.98564945,33233,1983,1
2019,12,522,509,40.73901691,-73.98470567,507,40.73827428,-73.98541675,34101,1982,1
2020,1,529,513,40.73912601,-73.984844,509,40.73827428,-73.98564945,33902,1982,1
2020,2,521,515,40.73827428,-73.984844,514,40.73804614,-73.98562431,34079,1983,1
2020,3,680,530,40.73912601,-73.98329859,529,40.73827428,-73.98362492,35221,1982,1
2020,4,970,3075,40.73935542,-73.98067966,3067,40.73912601,-73.98068914,37181,1983,1
2020,5,1097,3108,40.73935542,-73.97948148,3105,40.73912601,-73.97966069,36699,1984,1
2020,6,1028,3105,40.73912601,-73.97950418,3100,40.73827428,-73.9796772,36653,1985,1
2020,7,878,3092,40.73935542,-73.98068914,3085,40.73901691,-73.981013,37614,1985,1
2020,8,864,3094,40.73901691,-73.981013,3093,40.73804614,-73.98142006,37734,1985,1
2020,9,825,3113,40.7394482,-73.98128127,3110,40.739323,-73.98142006,38069,1985,1
2020,10,753,3115,40.74144387,-73.981095,3112,40.7394482,-73.98142006,39443,1985,1
2020,11,706,3126,40.74173969,-73.98067966,3124,40.741459,-73.98093045,41320,1984,1
2020,12,616,3125,40.74268473,-73.981095,3119,40.74177603,-73.98142006,43047,1983,1
2021,1,580,3129,40.74268473,-73.98093045,3128,40.74173969,-73.98128127,43246,1983,1
2021,2,593,3115,40.74173969,-73.98154004,3115,40.741459,-73.981687,42766,1969,0
2021,3,657,3139,40.7403432,-73.98128127,3137,40.73971301,-73.98142006,43430,1970,0
