date,NYC driving,NYC transit,NYC walking,Bronx driving,Bronx transit,Bronx walking,Brooklyn driving,Brooklyn transit,Brooklyn walking,Manhattan driving,Manhattan transit,Manhattan walking,Queens driving,Queens transit,Queens walking,Staten Island driving,Staten Island transit,Staten Island walking
1/26/20,104.3792857,98.13571429,105.9042857,100.0942857,90.95642857,96.01071429,106.3271429,105.5964286,107.4135714,104.7271429,96.66714286,106.4335714,103.0421429,95.73428571,98.49214286,109.2657143,102.2592857,102.2314286
1/27/20,103.9814286,97.53357143,105.33,99.88071429,90.54357143,95.74571429,106.0457143,105.5685714,107.0057143,103.8485714,95.55714286,105.6221429,102.795,95.575,98.03571429,109.2414286,103.4528571,102.5892857
1/28/20,103.6928571,97.47142857,105.1442857,99.85285714,90.46,95.57071429,105.7121429,105.425,106.6364286,103.5735714,95.55071429,105.4628571,102.465,95.53142857,97.66214286,109.3435714,104.1285714,103.2864286
1/29/20,103.3271429,97.32071429,104.4335714,99.59071429,90.20785714,95.025,105.4385714,105.2242857,105.715,103.2807143,95.46357143,104.7178571,102.08,95.26,96.91571429,109.2357143,104.3342857,102.7085714
1/30/20,102.9385714,97.435,104.3385714,99.49071429,90.15928571,94.73642857,105.0728571,105.29,105.4721429,103.2,95.75857143,104.6242857,101.8692857,95.23571429,96.76285714,108.8778571,104.41,102.3242857
1/31/20,102.7035714,97.64642857,104.9921429,99.23714286,90.31714286,95.16214286,104.8278571,105.5821429,106.18,103.33,96.00357143,105.3578571,101.4107143,95.31,97.29928571,108.2692857,104.9264286,102.8557143
2/1/20,103.8921429,98.21928571,106.5164286,100.3585714,91.10571429,96.82285714,105.8728571,106.4471429,108.5621429,104.0457143,96.37142857,106.4057143,102.3907143,95.98142857,99.04785714,109.28,105.9064286,104.525
2/2/20,103.3007143,97.50357143,105.0014286,100.2071429,90.68714286,96.74285714,105.5128571,105.8828571,107.8785714,102.5928571,95.31714286,104.0828571,102.0692857,95.78357143,98.82857143,108.8928571,105.4878571,104.8892857
2/3/20,103.1764286,97.74642857,105.6428571,100.8571429,91.42571429,98.09642857,105.4178571,105.9064286,108.2757143,102.8635714,95.595,104.935,102.1528571,95.99928571,99.31428571,108.8542857,106.2585714,105.3414286
2/4/20,103.0592857,97.60928571,106.1964286,100.5857143,90.97428571,98.23285714,105.3735714,105.6535714,108.7757143,103.115,95.76142857,105.8835714,101.8335714,95.27428571,99.22857143,108.6171429,105.6271429,105.4742857
2/5/20,102.875,97.31,106.2314286,100.3814286,90.445,97.98428571,105.1614286,105.185,108.8264286,103.2257143,95.74571429,106.2121429,101.6471429,94.43571429,98.80785714,108.79,104.3314286,104.9964286
2/6/20,102.735,97.02785714,105.89,100.4421429,89.72571429,97.49142857,105.1721429,104.735,108.3142857,103.38,95.79714286,106.1321429,101.6285714,93.84714286,98.19928571,105.8785714,101.9542857,103.4421429
2/7/20,102.4478571,96.86285714,105.225,100.1492857,89.10857143,96.42357143,105.0314286,104.3292857,107.6007143,103.5664286,95.97642857,105.7014286,101.3557143,93.23214286,97.01285714,105.1892857,100.8721429,102.1685714
2/8/20,102.9292857,97.73285714,106.7207143,100.615,89.59285714,96.95285714,106.0107143,105.9085714,109.6021429,104.4885714,96.84928571,107.4307143,101.7242857,93.78214286,97.89285714,105.6242857,101.8257143,102.6442857
2/9/20,103.1535714,98.01571429,107.0385714,100.845,89.685,97.28,106.5585714,106.7864286,110.0307143,104.8485714,97.09214286,107.8114286,101.8471429,93.69714286,97.88857143,105.6642857,101.8192857,102.9264286
2/10/20,103.4914286,98.025,106.8721429,101.1671429,89.55642857,97.01214286,107.0057143,106.7628571,109.7728571,105.3528571,97.3,107.7664286,102.2978571,93.29714286,97.54214286,105.9957143,100.9035714,102.3114286
2/11/20,103.8635714,98.30428571,107.2207143,101.6242857,89.65714286,97.16642857,107.4271429,107.1878571,110.3042857,106.0214286,97.65428571,108.18,102.7578571,93.33642857,97.91928571,106.4835714,100.3014286,102.0757143
2/12/20,104.2028571,98.62571429,107.7685714,102.0171429,90.06857143,97.70357143,107.8435714,107.6478571,111.2092857,106.4635714,97.99285714,108.725,103.125,93.56357143,98.51357143,106.6514286,99.90714286,102.7821429
2/13/20,104.8085714,99.00571429,108.2328571,102.6635714,90.45642857,98.11285714,108.6278571,108.1585714,112.1957143,107.1035714,98.32928571,109.12,103.9178571,93.94357143,98.91285714,107.2714286,100.0557143,103.6507143
2/14/20,106.0435714,99.58785714,109.3235714,103.8764286,90.61428571,98.555,110.0192857,108.4692857,112.685,108.6535714,99.18214286,110.5142857,105.305,94.33928571,99.24357143,108.3771429,100.1771429,104.5764286
2/15/20,106.3807143,99.88857143,109.8942857,104.2542857,90.43571429,98.08285714,110.365,108.5914286,112.3057143,109.8371429,99.755,111.7457143,105.6707143,94.49285714,98.98142857,108.4585714,100.1257143,103.885
2/16/20,107.3578571,100.7764286,112.3821429,104.8778571,90.85428571,98.32785714,111.3514286,109.3207143,113.87,112.0892857,100.95,115.3985714,106.3892857,94.95785714,99.58214286,109.1064286,101.1357143,103.9657143
2/17/20,107.9085714,101.4678571,113.67,104.6571429,90.59142857,97.92714286,111.95,110.31,115.11,113.09,101.7185714,117.0807143,106.695,95.78928571,100.2364286,109.3892857,101.1335714,103.6778571
2/18/20,108.2842857,101.97,114.2035714,104.9757143,91.125,98.13,112.3428571,110.9164286,115.3642857,113.6271429,102.0635714,117.69,107.2057143,96.60214286,100.8257143,109.8657143,102.2878571,103.8421429
2/19/20,108.8592857,102.5907143,115.1778571,105.3414286,91.60642857,98.76642857,112.9157143,111.7007143,116.03,114.2728571,102.5935714,118.8335714,107.7285714,97.45642857,101.5607143,109.9414286,103.4014286,104.6778571
