date,NYC driving,NYC transit,NYC walking,Bronx driving,Bronx transit,Bronx walking,Brooklyn driving,Brooklyn transit,Brooklyn walking,Manhattan driving,Manhattan transit,Manhattan walking,Queens driving,Queens transit,Queens walking,Staten Island driving,Staten Island transit,Staten Island walking,,NYC driving,NYC transit,NYC walking,Bronx driving,Bronx transit,Bronx walking,Brooklyn driving,Brooklyn transit,Brooklyn walking,Manhattan driving,Manhattan transit,Manhattan walking,Queens driving,Queens transit,Queens walking,Staten Island driving,Staten Island transit,Staten Island walking
1/13/20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
1/14/20,101.51,92.66,96.09,97.75,93.91,98.2,101.92,99.44,97.84,94.86,87.97,93.98,100.56,93.19,94.07,100.23,102.32,89.28,,,,,,,,,,,,,,,,,,,
1/15/20,104.51,95.29,105.77,101.59,95.78,103.49,102.9,101.84,106.96,99.23,91.82,105.31,103.52,94.59,101.07,104.43,104.42,105.61,,,,,,,,,,,,,,,,,,,
1/16/20,108.78,96.42,101.73,101.51,91.98,97.49,108.19,101.81,100.88,103.35,94.74,102.57,106.45,94.28,95.53,110.33,101.9,97.5,,,,,,,,,,,,,,,,,,,
1/17/20,122.44,107.5,117.09,120.32,96.5,104.48,124.46,114.22,119.39,122.96,109.53,118.23,121.1,100.23,103.78,128.54,103.01,108.99,,,,,,,,,,,,,,,,,,,
1/18/20,99.7,101.22,115.37,92.53,78.32,86.83,108.62,112.17,113.64,115.13,105.36,124.6,96.59,90.1,92.61,103.61,86.18,98.61,,,,,,,,,,,,,,,,,,,
1/19/20,93.56,93.41,110.42,84.71,74.31,79.72,100.53,104.16,111.31,107.98,96.43,118.85,92.21,83.42,91.91,94.17,80.94,87.02,,,,,,,,,,,,,,,,,,,
1/20/20,97.6,87.91,88.56,90.77,81.87,81.41,99.63,98.62,96.18,87.73,81.77,83.28,96.4,88.65,89.41,98.02,92.92,95.76,,,,,,,,,,,,,,,,,,,
1/21/20,99.99,94.76,91.09,100.69,99.04,97.39,99.82,103.3,93.9,90.64,87.05,84.55,101.34,100.83,95.27,102.32,112.03,96.58,,,,,,,,,,,,,,,,,,,
1/22/20,101.69,98.07,98.48,101.24,99.91,101.41,103,105.83,99.11,95.43,92.49,94.43,101.02,102.47,99.23,105.95,119.58,107.37,,,,,,,,,,,,,,,,,,,
1/23/20,106.78,101.52,105.69,102.7,99.93,100.18,106.76,109.59,108.97,102.7,97.42,103.71,105.1,101.47,100.51,147.9,136.49,116.52,,,,,,,,,,,,,,,,,,,
1/24/20,121.91,114.06,131.74,120.05,106.65,118.96,121.09,121.04,128.09,125.13,114.35,134.92,119.35,109.49,118.07,130.64,123.16,127.55,,,,,,,,,,,,,,,,,,,
1/25/20,112.91,105.16,122.53,104.21,84.92,98.99,115.91,113.2,122.38,122.78,108.64,125.54,108.11,96.6,106.33,112.28,86.39,111.15,,,,,,,,,,,,,,,,,,,
1/26/20,89.93,85.92,98.1,83.25,70.27,75.6,95.75,93.13,105.14,98.26,85.77,100.1,90.84,84.96,91.1,91.3,82.29,89.3,,104.3792857,98.13571429,105.9042857,100.0942857,90.95642857,96.01071429,106.3271429,105.5964286,107.4135714,104.7271429,96.66714286,106.4335714,103.0421429,95.73428571,98.49214286,109.2657143,102.2592857,102.2314286
1/27/20,94.43,91.57,91.96,97.01,94.22,96.29,96.06,99.61,94.29,87.7,84.46,88.64,96.54,97.77,93.61,99.66,116.71,105.01,,103.9814286,97.53357143,105.33,99.88071429,90.54357143,95.74571429,106.0457143,105.5685714,107.0057143,103.8485714,95.55714286,105.6221429,102.795,95.575,98.03571429,109.2414286,103.4528571,102.5892857
1/28/20,97.47,91.79,93.49,97.36,92.74,95.75,97.25,97.43,92.67,91.01,87.88,91.75,95.94,92.58,88.84,101.66,111.78,99.04,,103.6928571,97.47142857,105.1442857,99.85285714,90.46,95.57071429,105.7121429,105.425,106.6364286,103.5735714,95.55071429,105.4628571,102.465,95.53142857,97.66214286,109.3435714,104.1285714,103.2864286
1/29/20,99.39,93.18,95.82,97.92,92.25,95.85,99.07,99.03,94.06,95.13,90.6,94.88,98.13,90.79,90.62,102.92,107.3,97.52,,103.3271429,97.32071429,104.4335714,99.59071429,90.20785714,95.025,105.4385714,105.2242857,105.715,103.2807143,95.46357143,104.7178571,102.08,95.26,96.91571429,109.2357143,104.3342857,102.7085714
1/30/20,103.34,98.02,100.4,100.11,91.3,93.45,103.07,102.73,97.48,102.22,98.87,101.26,103.5,93.94,93.39,105.32,102.96,92.12,,102.9385714,97.435,104.3385714,99.49071429,90.15928571,94.73642857,105.0728571,105.29,105.4721429,103.2,95.75857143,104.6242857,101.8692857,95.23571429,96.76285714,108.8778571,104.41,102.3242857
1/31/20,119.15,110.46,126.24,116.77,98.71,110.44,121.03,118.31,129.3,124.78,112.96,128.5,114.68,101.27,111.29,120.02,110.24,116.43,,102.7035714,97.64642857,104.9921429,99.23714286,90.31714286,95.16214286,104.8278571,105.5821429,106.18,103.33,96.00357143,105.3578571,101.4107143,95.31,97.29928571,108.2692857,104.9264286,102.8557143
2/1/20,116.34,109.24,136.71,108.23,89.36,110.08,123.25,124.28,146.99,125.15,110.51,139.27,110.31,99.5,117.09,117.76,99.9,121.98,,103.8921429,98.21928571,106.5164286,100.3585714,91.10571429,96.82285714,105.8728571,106.4471429,108.5621429,104.0457143,96.37142857,106.4057143,102.3907143,95.98142857,99.04785714,109.28,105.9064286,104.525
