,full,ENTRIES_19_x,EXITS                                                               _19_x,change_19_x,ENTRIES_20_x,EXITS                                                               _20_x,change_20_x,diff_x,pct_change,mar20_pct_change,ENTRIES_19_y,EXITS                                                               _19_y,change_19_y,ENTRIES_20_y,EXITS                                                               _20_y,change_20_y,diff_y,apr20_pct_change,ENTRIES_19_x,EXITS                                                               _19_x,change_19_x,ENTRIES_20_x,EXITS                                                               _20_x,change_20_x,diff_x,may20_pct_change,ENTRIES_19_y,EXITS                                                               _19_y,change_19_y,ENTRIES_20_y,EXITS                                                               _20_y,change_20_y,diff_y,jun20_pct_change,ENTRIES_19_x,EXITS                                                               _19_x,change_19_x,ENTRIES_20_x,EXITS                                                               _20_x,change_20_x,diff_x,jul20_pct_change,ENTRIES_19_y,EXITS                                                               _19_y,change_19_y,ENTRIES_20_y,EXITS                                                               _20_y,change_20_y,diff_y,aug20_pct_change,ENTRIES_19_x,EXITS                                                               _19_x,change_19_x,ENTRIES_20_x,EXITS                                                               _20_x,change_20_x,diff_x,sep20_pct_change,ENTRIES_19_y,EXITS                                                               _19_y,change_19_y,ENTRIES_20_y,EXITS                                                               _20_y,change_20_y,diff_y,oct20_pct_change,ENTRIES_19_x,EXITS                                                               _19_x,change_19_x,ENTRIES_20_x,EXITS                                                               _20_x,change_20_x,diff_x,nov20_pct_change,ENTRIES_19_y,EXITS                                                               _19_y,change_19_y,ENTRIES_20_y,EXITS                                                               _20_y,change_20_y,diff_y,dec20_pct_change,ENTRIES_20_x,EXITS                                                               _20_x,change_20_x,ENTRIES_21_x,EXITS                                                               _21_x,change_21_x,diff_x,jan21_pct_change,ENTRIES_20_y,EXITS                                                               _20_y,change_20_y,ENTRIES_21_y,EXITS                                                               _21_y,change_21_y,diff_y,feb21_pct_change,ENTRIES_20,EXITS                                                               _20,change_20,ENTRIES_21_x,EXITS                                                               _21_x,change_21_x,diff_x,mar21_pct_change,ENTRIES_19_x,EXITS                                                               _19_x,change_19_x,ENTRIES_21_y,EXITS                                                               _21_y,change_21_y,diff_y,apr21_pct_change,ENTRIES_19_y,EXITS                                                               _19_y,change_19_y,ENTRIES_21,EXITS                                                               _21,change_21,diff,may21_pct_change
0,1 AV BMT,40922000340.0,42321806903.0,100057.0,20263225.0,32108845.0,89166.0,-10891.0,-10.884795666470112,-10.884795666470112,54109720356.0,56009034723.0,128577.0,27416408.0,40421634.0,15461.0,-113116.0,-87.97529884816102,53823158573.0,56115161232.0,103989.0,19246997825.0,20562295985.0,16156.0,-87833.0,-84.46374135725894,47966099023.0,50261153124.0,88542.0,497826455.0,1127230061.0,21530.0,-67012.0,-75.68385624901177,61371989306.0,63647779534.0,92759.0,16300683827.0,16474066920.0,31614.0,-61145.0,-65.91813193328949,53453489969.0,55720736506.0,89849.0,16237248339.0,16453499513.0,35659.0,-54190.0,-60.31230175071509,48006703928.0,50313141457.0,81213.0,15660765849.0,16035681122.0,40545.0,-40668.0,-50.07572679250859,49040919736.0,51018417258.0,93972.0,16589632209.0,16758441920.0,44921.0,-49051.0,-52.197463074107176,48427220042.0,49772525306.0,106394.0,17151556297.0,17366086743.0,43449.0,-62945.0,-59.16217079910522,18691611267.0,18235929387.0,122585.0,17064993651.0,17273282332.0,36219.0,-86366.0,-70.4539707141983,18711764812.0,18250206007.0,75457.0,16665094719.0,16701940867.0,27205.0,-48252.0,-63.94635355235432,18726020391.0,18265359488.0,107041.0,17414142530.0,17499382718.0,32326.0,-74715.0,-69.80035687260022,20263225.0,32108845.0,89166.0,18933864361.0,19056156834.0,49859.0,-39307.0,-44.08294641455263,54109720356.0,56009034723.0,128577.0,18553581660.0,18707511517.0,47022.0,-81555.0,-63.428918080216526,53823158573.0,56115161232.0,103989.0,17828191972.0,17978058579.0,52476.0,-51513.0,-49.53697025646944
1,103 ST IND,1210818910.0,1044619647.0,26013.0,1274444327.0,1089595810.0,27535.0,1522.0,5.850920693499404,5.850920693499404,1216554406.0,1048654097.0,29283.0,1245601211.0,1064706763.0,3139.0,-26144.0,-89.28046989721,1221400634.0,1052023871.0,30984.0,1227955608.0,1046900126.0,2665.0,-28319.0,-91.39878647043635,1226511562.0,1055505963.0,28272.0,1150644621.0,967838432.0,3761.0,-24511.0,-86.69708545557442,1293245034.0,1111883837.0,26028.0,1132284115.0,962801207.0,5662.0,-20366.0,-78.24650376517597,1237641845.0,1063601795.0,26727.0,1236354259.0,1046689057.0,6485.0,-20242.0,-75.73614696748606,1243987306.0,1068312182.0,27037.0,1210016953.0,1026867712.0,7218.0,-19819.0,-73.30325110034397,1249075444.0,1071960831.0,29478.0,1134813242.0,977660430.0,8831.0,-20647.0,-70.04206526901417,1254087983.0,1075420475.0,30603.0,1219974868.0,1041941264.0,8761.0,-21842.0,-71.37208770381989,1259963113.0,1079421241.0,28020.0,1258720671.0,1067446729.0,8199.0,-19821.0,-70.73875802997858,1264351299.0,1082470618.0,22891.0,1233818166.0,1050707079.0,6590.0,-16301.0,-71.21139312393517,1268798035.0,1085581349.0,27034.0,1257907756.0,1064654673.0,7137.0,-19897.0,-73.5999112229045,1274444327.0,1089595810.0,27535.0,1264455213.0,1074863448.0,8470.0,-19065.0,-69.2391501725077,1216554406.0,1048654097.0,29283.0,1260649248.0,1067430179.0,8718.0,-20565.0,-70.22846019875013,1221400634.0,1052023871.0,30984.0,1249252833.0,1059553608.0,10161.0,-20823.0,-67.20565453137102
2,103 ST IRT,5161376898.0,23111135664.0,159007.0,4234576698.0,3711613609.0,148898.0,-10109.0,-6.357581741684329,-6.357581741684329,5397710715.0,22836702353.0,152007.0,4204818390.0,3699613850.0,21914.0,-130093.0,-85.58355865190418,6024372266.0,24798991449.0,163546.0,3708424466.0,3293563635.0,19512.0,-144034.0,-88.06941166399668,5808778202.0,23542650144.0,145317.0,3613949023.0,3073365433.0,25850.0,-119467.0,-82.21130356393265,6690712810.0,28812335561.0,128239.0,3729343862.0,3262168298.0,34085.0,-94154.0,-73.42072224518283,3830645257.0,3316402759.0,127626.0,3750546960.0,3263923046.0,38499.0,-89127.0,-69.83451647783367,4635162826.0,3756201345.0,135501.0,3674817047.0,3220329249.0,43750.0,-91751.0,-67.71241540652836,4603246950.0,3681736933.0,156082.0,3298393260.0,3162276056.0,52022.0,-104060.0,-66.67008367396625,5076352062.0,4250812171.0,164967.0,3963205522.0,3587315634.0,54021.0,-110946.0,-67.25345069013802,4719572469.0,3817707786.0,156798.0,4085736512.0,3487236668.0,49083.0,-107715.0,-68.69666704932462,4229612004.0,3728205256.0,120854.0,4147448065.0,3718109877.0,39336.0,-81518.0,-67.45163585814288,4203967956.0,3688465724.0,150026.0,4104742293.0,3707316267.0,41924.0,-108102.0,-72.05551037820112,4234576698.0,3711613609.0,148898.0,4187417308.0,3743684424.0,51757.0,-97141.0,-65.23996292764174,5397710715.0,22836702353.0,152007.0,4145601649.0,3734082705.0,51904.0,-100103.0,-65.85420408270672,6024372266.0,24798991449.0,163546.0,4182141246.0,3754171842.0,58797.0,-104749.0,-64.04864686387927
3,103 ST-CORONA IRT,2861794426.0,2889710030.0,123534.0,3135782288.0,3099567684.0,126589.0,3055.0,2.473003383683844,2.473003383683844,2891197623.0,2916399072.0,125705.0,2522861614.0,2577188519.0,17204.0,-108501.0,-86.31398910146773,3042542571.0,3071395441.0,125882.0,2520348362.0,2571225477.0,18532.0,-107350.0,-85.27827648114902,2932408570.0,2946613062.0,119682.0,2335734650.0,2343975412.0,32513.0,-87169.0,-72.83384301732926,3062861849.0,3071972799.0,112803.0,2416747587.0,2404320510.0,45825.0,-66978.0,-59.376080423393,2871703359.0,2849983462.0,119729.0,2426054390.0,2512412315.0,47558.0,-72171.0,-60.27862923769513,3001505748.0,2998846666.0,116735.0,2465960871.0,2522668918.0,53592.0,-63143.0,-54.09088962179295,3023110640.0,3014900521.0,128143.0,2515589523.0,2562809365.0,61762.0,-66381.0,-51.80228338652911,3044432792.0,3030784156.0,128628.0,2642359704.0,2701653360.0,65839.0,-62789.0,-48.81441054824766,3070424630.0,3050224644.0,127777.0,2462767825.0,2566554299.0,62710.0,-65067.0,-50.922309961886725,3165752272.0,3140269653.0,105560.0,2611896719.0,2662668272.0,51783.0,-53777.0,-50.94448654793482,3090471728.0,3059586085.0,126579.0,2371639099.0,2420876982.0,50341.0,-76238.0,-60.2295799461206,3135782288.0,3099567684.0,126589.0,2601460631.0,2672110338.0,61473.0,-65116.0,-51.438908593953656,2891197623.0,2916399072.0,125705.0,2596028267.0,2624299094.0,62156.0,-63549.0,-50.554075016904655,3042542571.0,3071395441.0,125882.0,2554068837.0,2662323477.0,70187.0,-55695.0,-44.24381563686627
4,104 ST BMT,44162583658.0,74786858631.0,15727.0,12708562.0,6574792.0,15531.0,-196.0,-1.2462643860876201,-1.2462643860876201,46408103182.0,78602493883.0,16472.0,13374641.0,6903801.0,3630.0,-12842.0,-77.96260320543954,46410519592.0,78603084105.0,16472.0,12912248.0,6705894.0,3925.0,-12547.0,-76.17168528411851,28309807803.0,47938562924.0,11092.0,13028087.0,6817297.0,4893.0,-6199.0,-55.88712585647313,46415602851.0,78604511425.0,10497.0,14319837.0,7450269.0,6103.0,-4394.0,-41.85957892731256,23991201378.0,40455357046.0,11133.0,14564580.0,7667460.0,6587.0,-4546.0,-40.83355789095482,46419707903.0,78605454884.0,11564.0,15977953.0,8407510.0,7987.0,-3577.0,-30.93220338983051,46421736724.0,78605911579.0,13247.0,17079365.0,9099697.0,7350.0,-5897.0,-44.515739412697215,2074665.0,1087152.0,20993.0,19452111.0,10328133.0,7793.0,-13200.0,-62.878102224551036,5133572.0,2684985.0,15386.0,20150567.0,10863500.0,10009.0,-5377.0,-34.94735473807357,7361017.0,3840540.0,12119.0,21184395.0,11663953.0,11113.0,-1006.0,-8.301014935225679,9931058.0,5145349.0,15292.0,21433233.0,12215146.0,13625.0,-1667.0,-10.901124771122156,12708562.0,6574792.0,15531.0,24773009.0,14638900.0,13992.0,-1539.0,-9.909213830403708,46408103182.0,78602493883.0,16472.0,24489345.0,14816683.0,13923.0,-2549.0,-15.474745021855268,46410519592.0,78603084105.0,16472.0,26405210.0,16260041.0,14717.0,-1755.0,-10.65444390480816
5,104 ST IND,357087937.0,413478147.0,9110.0,373645975.0,412412454.0,9017.0,-93.0,-1.0208562019758507,-1.0208562019758507,357357954.0,397804680.0,9379.0,232949759.0,166706655.0,1279.0,-8100.0,-86.36315172193197,272678272.0,298021300.0,7955.0,233943074.0,166985340.0,1240.0,-6715.0,-84.41231929604022,371446810.0,418577809.0,8266.0,196361353.0,130656405.0,1867.0,-6399.0,-77.41350108879749,378871515.0,429102321.0,7599.0,192757628.0,121382875.0,2977.0,-4622.0,-60.82379260429004,385824388.0,439460246.0,8666.0,179198393.0,124390476.0,2887.0,-5779.0,-66.68589891530118,342712462.0,361656778.0,8301.0,252677045.0,229036151.0,3657.0,-4644.0,-55.945066859414524,234153198.0,245734424.0,7715.0,280982429.0,286302612.0,4269.0,-3446.0,-44.666234607906674,362551394.0,392308165.0,9371.0,294233386.0,290895661.0,4081.0,-5290.0,-56.4507523209903,375624881.0,412699953.0,9345.0,307647177.0,303398967.0,4035.0,-5310.0,-56.82182985553772,328222851.0,341350759.0,7099.0,266598269.0,234197895.0,3184.0,-3915.0,-55.14861248063107,259328444.0,278300766.0,7879.0,277438877.0,261747232.0,3236.0,-4643.0,-58.92879807082117,373645975.0,412412454.0,9017.0,283803596.0,264075398.0,3798.0,-5219.0,-57.8795608295442,357357954.0,397804680.0,9379.0,315112175.0,330380202.0,3645.0,-5734.0,-61.13658172513061,272678272.0,298021300.0,7955.0,297103618.0,284560418.0,4011.0,-3944.0,-49.57888120678818
6,110 ST IRT,1424259519.0,1422297329.0,66236.0,1657866056.0,1582026181.0,63907.0,-2329.0,-3.516214747267347,-3.516214747267347,1517695002.0,1438998983.0,66619.0,1637805689.0,1556844543.0,11024.0,-55595.0,-83.45216830033473,1512695116.0,1419958645.0,66511.0,1659493056.0,1577066224.0,9521.0,-56990.0,-85.68507464930613,1504978246.0,1469835474.0,60155.0,1569866680.0,1513703153.0,11908.0,-48247.0,-80.20447178123182,1763081899.0,1670020370.0,53155.0,1649611475.0,1578962772.0,15849.0,-37306.0,-70.18342583011946,1582604027.0,1567081389.0,57691.0,1433807084.0,1047212232.0,17563.0,-40128.0,-69.55677662027006,1589077034.0,1519099315.0,57669.0,1594478664.0,1533096086.0,19185.0,-38484.0,-66.7325599542215,1563537299.0,1454536224.0,65702.0,1613682974.0,1571078098.0,23592.0,-42110.0,-64.09241727801285,1611369438.0,1539058599.0,68756.0,1646336438.0,1503561122.0,24385.0,-44371.0,-64.53400430507882,1625239122.0,1562780319.0,69162.0,1549662730.0,1404811648.0,23133.0,-46029.0,-66.55244209247853,1639885938.0,1564378286.0,51613.0,1692557447.0,1628598418.0,19337.0,-32276.0,-62.5346327475636,1645005940.0,1570028195.0,63377.0,1667681503.0,1625030378.0,19865.0,-43512.0,-68.6558215125361,1657866056.0,1582026181.0,63907.0,1695629845.0,1631687951.0,24563.0,-39344.0,-61.56446085718309,1517695002.0,1438998983.0,66619.0,1642210567.0,1539476467.0,24127.0,-42492.0,-63.7836052777736,1512695116.0,1419958645.0,66511.0,1709181148.0,1651241847.0,27533.0,-38978.0,-58.60383996632136
7,111 ST IND,312240123.0,169253811.0,15740.0,460068197.0,150341404.0,14965.0,-775.0,-4.923761118170267,-4.923761118170267,263115477.0,152974535.0,16206.0,444407870.0,148372712.0,2118.0,-14088.0,-86.93076638282118,206112150.0,118148694.0,14009.0,445237086.0,145548647.0,2031.0,-11978.0,-85.50217717181812,268109099.0,154720078.0,14001.0,437760900.0,140020256.0,3107.0,-10894.0,-77.8087279480037,378040137.0,191460239.0,12615.0,434810013.0,140648515.0,4482.0,-8133.0,-64.47086801426872,273529876.0,156590226.0,14453.0,446963881.0,152112837.0,4376.0,-10077.0,-69.72254895177473,476920775.0,224404039.0,13766.0,451599942.0,148124927.0,5891.0,-7875.0,-57.20616010460555,449083543.0,195993749.0,13375.0,557053767.0,183619575.0,6549.0,-6826.0,-51.035514018691586,331899856.0,176100690.0,15876.0,413594207.0,142437572.0,6649.0,-9227.0,-58.119173595364074,452952568.0,147782207.0,15410.0,403541596.0,141141030.0,6138.0,-9272.0,-60.16872160934458,450013250.0,148496188.0,10839.0,394865053.0,135079024.0,4927.0,-5912.0,-54.543777101208605,315348922.0,102998259.0,13257.0,381007109.0,130593362.0,4910.0,-8347.0,-62.96296296296296,460068197.0,150341404.0,14965.0,428997673.0,149537020.0,6127.0,-8838.0,-59.05780153691948,263115477.0,152974535.0,16206.0,469453067.0,154793875.0,5817.0,-10389.0,-64.10588670862644,206112150.0,118148694.0,14009.0,523614063.0,172844819.0,6466.0,-7543.0,-53.8439574559212
8,111 ST IRT,2104001394.0,1281138138.0,68827.0,2248483324.0,1358747469.0,104141.0,35314.0,51.308352826652325,51.308352826652325,2221636996.0,1354585655.0,71918.0,2260054102.0,1375921814.0,9567.0,-62351.0,-86.69734975944826,2233981373.0,1363675264.0,72332.0,2338633005.0,1422691504.0,11167.0,-61165.0,-84.56146657081236,2141892024.0,1308343491.0,69462.0,2132507957.0,1298669848.0,19078.0,-50384.0,-72.5346232472431,2261902551.0,1382298940.0,65979.0,2297397010.0,1394557662.0,26394.0,-39585.0,-59.996362478970575,2168023054.0,1325274024.0,70514.0,2312249302.0,1409448555.0,29157.0,-41357.0,-58.65076438721388,2182366257.0,1334754982.0,66744.0,2262562608.0,1378476888.0,33538.0,-33206.0,-49.75128850533381,2141159298.0,1310099168.0,73378.0,2281043515.0,1390666020.0,35694.0,-37684.0,-51.35599225926026,2264139517.0,1383236564.0,115107.0,2357988106.0,1438578632.0,39069.0,-76038.0,-66.05853683963616,2228671213.0,1359462638.0,72194.0,2320491775.0,1416758358.0,37342.0,-34852.0,-48.275479956783116,2239996668.0,1366940703.0,60980.0,2326042102.0,1421091838.0,30179.0,-30801.0,-50.51000327976386,2251021005.0,1374236898.0,68713.0,2153927734.0,1316535550.0,29422.0,-39291.0,-57.18131940098671,2248483324.0,1358747469.0,104141.0,2338583133.0,1430813449.0,36281.0,-67860.0,-65.161655831997,2221636996.0,1354585655.0,71918.0,2344584717.0,1435592726.0,36161.0,-35757.0,-49.71912455852498,2233981373.0,1363675264.0,72332.0,2346742344.0,1437734054.0,40615.0,-31717.0,-43.849195376873304
9,116 ST IND,11837348803.0,12760677250.0,41760.0,14934327406.0,16100711550.0,43955.0,2195.0,5.256226053639847,5.256226053639847,14854071071.0,16038481749.0,46391.0,7096082143.0,8093382003.0,7248.0,-39143.0,-84.37627988187364,14717997129.0,15886133140.0,50879.0,7280118130.0,8313103142.0,7506.0,-43373.0,-85.24735155958254,14844400594.0,16038109310.0,41917.0,6661603228.0,7624710444.0,11260.0,-30657.0,-73.13739055753035,14702030299.0,15883642668.0,37809.0,6669565110.0,7619654600.0,17026.0,-20783.0,-54.96839376867941,13348276695.0,14457240213.0,37578.0,6655278305.0,7612754989.0,10011.0,-27567.0,-73.35941242216191,14211811579.0,15390931449.0,41600.0,4989772687.0,5645342504.0,10551.0,-31049.0,-74.63701923076923,14902647989.0,16074865436.0,45024.0,341988961.0,161754524.0,13116.0,-31908.0,-70.86886993603412,14563564761.0,15738799407.0,48097.0,7214750271.0,8258594430.0,13440.0,-34657.0,-72.05646921845438,13544974201.0,14683545855.0,47924.0,7047050497.0,8049044858.0,12118.0,-35806.0,-74.71413070695267,14557235168.0,15697500310.0,38396.0,7404170485.0,8482459688.0,11778.0,-26618.0,-69.32492968017502,14925227710.0,16093892826.0,44412.0,7046653077.0,8051269283.0,13549.0,-30863.0,-69.49247951004233,14934327406.0,16100711550.0,43955.0,7593983663.0,8706922402.0,15070.0,-28885.0,-65.71493572972358,14854071071.0,16038481749.0,46391.0,7256948866.0,8285491733.0,15449.0,-30942.0,-66.69828199435234,14717997129.0,15886133140.0,50879.0,7252570409.0,8285127832.0,18085.0,-32794.0,-64.45488315415004
