full,latitude,longitude
1 AV BMT,40.730953,-73.981628
103 ST IND,40.796092,-73.961454
103 ST IRT,40.799446,-73.968379
103 ST IRT,40.749865,-73.8627
103 ST IRT,40.7906,-73.947478
110 ST IRT,40.79502,-73.94425
116 ST IND,40.805085,-73.954882
116 ST IRT,40.802098,-73.949625
116 ST IRT,40.798629,-73.941617
121 ST BMT,40.700492,-73.828294
125 ST IND,40.811109,-73.952343
125 ST IRT,40.815581,-73.958372
125 ST IRT,40.807754,-73.945495
125 ST IRT,40.804138,-73.937594
135 ST IND,40.817894,-73.947649
135 ST IRT,40.814229,-73.94077
14 ST IND,40.738228,-73.996209
14 ST IND,40.740893,-74.00169
14 ST IRT,40.737826,-74.000201
145 ST IND,40.824783,-73.944216
145 ST IRT,40.826551,-73.95036
145 ST IRT,40.820421,-73.936245
155 ST IND,40.830518,-73.941514
155 ST IND,40.830135,-73.938209
157 ST IRT,40.834041,-73.94489
167 ST IND,40.833769,-73.918432
167 ST IRT,40.835537,-73.9214
168 ST IRT,40.840556,-73.940133
169 ST IND,40.71047,-73.793604
170 ST IND,40.839306,-73.9134
170 ST IRT,40.840075,-73.917791
174 ST IRT,40.837288,-73.887734
174-175 STS IND,40.8459,-73.910136
175 ST IND,40.847391,-73.939704
176 ST IRT,40.84848,-73.911794
18 AV BMT,40.620671,-73.990414
18 AV BMT,40.607954,-74.001736
18 AV IND,40.629755,-73.976971
18 ST IRT,40.74104,-73.997871
181 ST IND,40.851695,-73.937969
183 ST IRT,40.858407,-73.903879
190 ST IND,40.859022,-73.93418
191 ST IRT,40.855225,-73.929412
20 AV BMT,40.61741,-73.985026
20 AV BMT,40.604556,-73.998168
207 ST IRT,40.864614,-73.918819
21 ST IND,40.754203,-73.942836
21 ST IND,40.744065,-73.949724
215 ST IRT,40.869444,-73.915279
219 ST IRT,40.883895,-73.862633
225 ST IRT,40.888022,-73.860341
23 ST BMT,40.741303,-73.989344
23 ST IND,40.742878,-73.992821
23 ST IND,40.745906,-73.998041
23 ST IRT,40.744081,-73.995657
23 ST IRT,40.739864,-73.986599
231 ST IRT,40.878856,-73.904834
233 ST IRT,40.893193,-73.857473
238 ST IRT,40.884667,-73.90087
25 AV BMT,40.597704,-73.986829
25 ST BMT,40.660397,-73.998091
28 ST BMT,40.745494,-73.988691
28 ST IRT,40.747215,-73.993365
28 ST IRT,40.74307,-73.984264
3 AV BMT,40.732849,-73.986122
33 ST IRT,40.746081,-73.982076
36 ST BMT,40.655144,-74.003549
36 ST IND,40.752039,-73.928781
45 ST BMT,40.648939,-74.010006
46 ST IND,40.756312,-73.913333
49 ST BMT,40.759901,-73.984139
50 ST BMT,40.63626,-73.994791
50 ST IND,40.762456,-73.985984
50 ST IRT,40.761728,-73.983849
51 ST IRT,40.757107,-73.97192
53 ST BMT,40.645069,-74.014034
55 ST BMT,40.631435,-73.995476
57 ST IND,40.763972,-73.97745
59 ST BMT,40.641362,-74.017881
59 ST IRT,40.762526,-73.967967
6 AV BMT,40.737335,-73.996786
65 ST IND,40.749669,-73.898453
67 AV IND,40.726523,-73.852719
7 AV BMT,40.67705,-73.972367
7 AV IND,40.666271,-73.980305
7 AV IND,40.762862,-73.981637
71 ST BMT,40.619589,-73.998864
75 AV IND,40.718331,-73.837324
77 ST BMT,40.629742,-74.02551
77 ST IRT,40.77362,-73.959874
79 ST BMT,40.613501,-74.00061
79 ST IRT,40.783934,-73.979917
8 AV BMT,40.739777,-74.002578
8 AV BMT,40.635064,-74.011719
86 ST BMT,40.622687,-74.028398
86 ST BMT,40.592721,-73.97823
86 ST IND,40.785868,-73.968916
86 ST IRT,40.788644,-73.976218
86 ST IRT,40.779492,-73.955589
9 AV BMT,40.646292,-73.994324
96 ST IND,40.791646,-73.964699
96 ST IRT,40.793919,-73.972323
96 ST IRT,40.785672,-73.95107
ALABAMA AV BMT,40.676992,-73.898654
ALLERTON AV IRT,40.865462,-73.867352
ATLANTIC AV BMT,40.68446,-73.97689
ATLANTIC AV BMT,40.675345,-73.903097
BAY 50 ST BMT,40.588841,-73.983765
BAY RIDGE AV BMT,40.634967,-74.023377
BAYCHESTER AV IRT,40.878663,-73.838591
BEACH 105 ST IND,40.583209,-73.827559
BEACH 25 ST IND,40.600066,-73.761353
