,full,mar20_pct_change,apr20_pct_change,may20_pct_change,jun20_pct_change,jul20_pct_change,aug20_pct_change,sep20_pct_change,oct20_pct_change,nov20_pct_change,dec20_pct_change,jan21_pct_change,feb21_pct_change,mar21_pct_change,apr21_pct_change,may21_pct_change
0,1 AV BMT,-10.884795666470112,-87.97529884816102,-84.46374135725894,-75.68385624901177,-65.91813193328949,-60.31230175071509,-50.07572679250859,-52.197463074107176,-59.16217079910522,-70.4539707141983,-63.94635355235432,-69.80035687260022,-44.08294641455263,-63.428918080216526,-49.53697025646944
1,103 ST IND,5.850920693499404,-89.28046989721,-91.39878647043635,-86.69708545557442,-78.24650376517597,-75.73614696748606,-73.30325110034397,-70.04206526901417,-71.37208770381989,-70.73875802997858,-71.21139312393517,-73.5999112229045,-69.2391501725077,-70.22846019875013,-67.20565453137102
2,103 ST IRT,-6.357581741684329,-85.58355865190418,-88.06941166399668,-82.21130356393265,-73.42072224518283,-69.83451647783367,-67.71241540652836,-66.67008367396625,-67.25345069013802,-68.69666704932462,-67.45163585814288,-72.05551037820112,-65.23996292764174,-65.85420408270672,-64.04864686387927
3,103 ST-CORONA IRT,2.473003383683844,-86.31398910146773,-85.27827648114902,-72.83384301732926,-59.376080423393,-60.27862923769513,-54.09088962179295,-51.80228338652911,-48.81441054824766,-50.922309961886725,-50.94448654793482,-60.2295799461206,-51.438908593953656,-50.554075016904655,-44.24381563686627
4,104 ST BMT,-1.2462643860876201,-77.96260320543954,-76.17168528411851,-55.88712585647313,-41.85957892731256,-40.83355789095482,-30.93220338983051,-44.515739412697215,-62.878102224551036,-34.94735473807357,-8.301014935225679,-10.901124771122156,-9.909213830403708,-15.474745021855268,-10.65444390480816
5,104 ST IND,-1.0208562019758507,-86.36315172193197,-84.41231929604022,-77.41350108879749,-60.82379260429004,-66.68589891530118,-55.945066859414524,-44.666234607906674,-56.4507523209903,-56.82182985553772,-55.14861248063107,-58.92879807082117,-57.8795608295442,-61.13658172513061,-49.57888120678818
6,110 ST IRT,-3.516214747267347,-83.45216830033473,-85.68507464930613,-80.20447178123182,-70.18342583011946,-69.55677662027006,-66.7325599542215,-64.09241727801285,-64.53400430507882,-66.55244209247853,-62.5346327475636,-68.6558215125361,-61.56446085718309,-63.7836052777736,-58.60383996632136
7,111 ST IND,-4.923761118170267,-86.93076638282118,-85.50217717181812,-77.8087279480037,-64.47086801426872,-69.72254895177473,-57.20616010460555,-51.035514018691586,-58.119173595364074,-60.16872160934458,-54.543777101208605,-62.96296296296296,-59.05780153691948,-64.10588670862644,-53.8439574559212
8,111 ST IRT,51.308352826652325,-86.69734975944826,-84.56146657081236,-72.5346232472431,-59.996362478970575,-58.65076438721388,-49.75128850533381,-51.35599225926026,-66.05853683963616,-48.275479956783116,-50.51000327976386,-57.18131940098671,-65.161655831997,-49.71912455852498,-43.849195376873304
9,116 ST IND,5.256226053639847,-84.37627988187364,-85.24735155958254,-73.13739055753035,-54.96839376867941,-73.35941242216191,-74.63701923076923,-70.86886993603412,-72.05646921845438,-74.71413070695267,-69.32492968017502,-69.49247951004233,-65.71493572972358,-66.69828199435234,-64.45488315415004
