STATION,DIVISION,LOCATION
103 ST,IND,"(40.796092, -73.961454)"
103 ST,IRT,"(40.799446, -73.968379)"
103 ST,IRT,"(40.749865, -73.8627)"
103 ST,IRT,"(40.7906, -73.947478)"
104 ST-101 ST,BMT,"(40.695178, -73.84433)"
104 ST-OXFORD AV,IND,"(40.681711, -73.837683)"
110 ST,IRT,"(40.79502, -73.94425)"
110 ST-CENTRAL PARK NORTH,IRT,"(40.799075, -73.951822)"
111TH ST,BMT,"(40.697418, -73.836345)"
111TH ST,IRT,"(40.75173, -73.855334)"
111TH ST-GREENWOOD AV,IND,"(40.684331, -73.832163)"
116 ST,IND,"(40.805085, -73.954882)"
116 ST,IRT,"(40.802098, -73.949625)"
116 ST,IRT,"(40.798629, -73.941617)"
116 ST-COLUMBIA UNIVERSITY,IRT,"(40.807722, -73.96411)"
121 ST,BMT,"(40.700492, -73.828294)"
125 ST,IND,"(40.811109, -73.952343)"
125 ST,IRT,"(40.815581, -73.958372)"
125 ST,IRT,"(40.807754, -73.945495)"
125 ST,IRT,"(40.804138, -73.937594)"
135 ST,IND,"(40.817894, -73.947649)"
135 ST,IRT,"(40.814229, -73.94077)"
137 ST-CITY COLLEGE,IRT,"(40.822008, -73.953676)"
138 ST,IRT,"(40.813224, -73.929849)"
138 ST-3 AVE,IRT,"(40.810476, -73.926138)"
145 ST,IND,"(40.824783, -73.944216)"
145 ST,IRT,"(40.826551, -73.95036)"
145 ST,IRT,"(40.820421, -73.936245)"
149 ST-3 AV,IRT,"(40.816109, -73.917757)"
149 ST-GRAND CONCOURSE,IRT,"(40.818375, -73.927351)"
14 ST,IND,"(40.738228, -73.996209)"
14 ST,IND,"(40.740893, -74.00169)"
14 ST,IRT,"(40.737826, -74.000201)"
14 ST-UNION SQUARE,IRT,"(40.734673, -73.989951)"
155 ST,IND,"(40.830518, -73.941514)"
155 ST,IND,"(40.830135, -73.938209)"
157 ST,IRT,"(40.834041, -73.94489)"
163 ST - AMSTERDAM AV,IND,"(40.836013, -73.939892)"
