,full,ENTRIES_x,EXITS                                                               _x,change_x,ENTRIES_y,EXITS                                                               _y,change_y,diff,pct
0,1 AV BMT,17880082.0,27890667.0,92731,18153942061,18297777449,48610,-44121,-47.57955807658712
1,103 ST IND,1273297291.0,1088749033.0,27999,1262482086,1071224467,8338,-19661,-70.22036501303617
2,103 ST IRT,4228302521.0,3706815453.0,150382,4104351709,3674078928,51010,-99372,-66.07971698740542
3,103 ST-CORONA IRT,3130582269.0,3095738354.0,126895,2635167208,2694427080,61451,-65444,-51.57334804365814
4,104 ST BMT,12070979.0,6243102.0,15522,24017334,13993563,14080,-1442,-9.290039943306274
5,104 ST IND,373160993.0,404318860.0,9095,303384027,302570444,3818,-5277,-58.02089059923035
6,110 ST IRT,1655207228.0,1579552450.0,64573,1699722681,1638643426,24523,-40050,-62.022826878106954
7,111 ST BMT,740357312.0,644282259.0,13658,732357946,638538469,5790,-7868,-57.607263142480605
8,111 ST IND,657667080.0,216176260.0,15095,426011375,145136913,6010,-9085,-60.18549188473005
9,111 ST IRT,2268940986.0,1381113653.0,105939,2337095745,1429632242,36385,-69554,-65.65476359036803
10,116 ST IND,14932476274.0,16099336782.0,44864,7421469755,8493645730,14931,-29933,-66.71941868758915
11,116 ST IRT,2565824450.0,949028325.0,155519,2624935124,1042633310,54095,-101424,-65.21646872729377
12,116 ST-COLUMBIA IRT,49819095727.0,10614606935.0,90534,49906764335,10670315151,13916,-76618,-84.62897916804735
13,121 ST BMT,76281846308.0,20560975144.0,13323,76289060269,20568058421,6433,-6890,-51.71507918636944
14,125 ST IND,20733435349.0,17264008369.0,178627,4592111427,3980348008,59063,-119564,-66.93500982494248
15,125 ST IRT,159221623757.0,107953645329.0,280757,159385252942,108144178504,89969,-190788,-67.9548506359592
16,135 ST IND,3706479489.0,1292131945.0,35328,3118083209,997710189,8890,-26438,-74.83582427536231
17,135 ST IRT,2041219331.0,762442527.0,85708,76168956534,71071409073,24599,-61109,-71.29906193120829
18,137 ST CITY COL IRT,2653351447.0,1368549980.0,88883,2685714603,1459351641,29508,-59375,-66.80130058616383
19,138/GRAND CONC IRT,41014507984.0,39593702304.0,12327,41027722440,39608895845,9299,-3028,-24.563965279467833
20,14 ST IND,3154443134.0,3553932700.0,226273,2158714121,2100349177,43047,-183226,-80.97563562599161
21,14 ST IRT,11865933519.0,3821383089.0,124069,11899622096,3855991239,28570,-95499,-76.97249111381569
22,14 ST-UNION SQ BMT,8244752095.0,4459545397.0,375315,8208501180,4509856775,84886,-290429,-77.38273183858891
