pickup_datetime,pickup_datetime,duration_mean,duration_median,count
1,1,950.8799597643176,805.0,704847
1,2,996.6521094670472,824.0,499913
1,3,993.0839907013177,827.0,594923
1,4,968.7008919547776,823.0,657993
1,5,958.0006376414923,798.0,600651
1,6,1041.2497640256404,845.0,547729
1,7,1026.2393510780657,844.0,552239
1,8,1020.3441311972317,838.0,596476
1,9,1067.429124316113,874.0,647768
1,10,1075.9491679839057,892.0,695900
1,11,1036.0346949963775,887.0,771581
1,12,1005.0693783389273,845.0,672746
1,13,1076.3361328857159,879.0,600215
1,14,1079.2531441096507,879.0,603589
1,15,1098.402321501686,897.0,600818
1,16,1126.3992066623623,903.0,669072
1,17,1110.056200365759,895.0,798340
1,18,974.8308893628861,827.0,808725
1,19,951.3564137823092,809.0,715584
1,20,976.3802353489614,796.0,592057
1,21,1066.231852746382,867.0,635964
1,22,1066.6068085623065,881.0,642397
1,23,1101.390302905487,907.0,670077
1,24,1102.2524207298536,910.0,756590
1,25,989.7281497069804,849.0,887654
1,26,1006.5614677341783,843.0,706940
1,27,1044.5724225813628,860.0,593268
1,28,1038.192833857021,861.0,610733
1,29,1070.482322676626,883.0,645290
1,30,1104.147267967811,908.0,700614
1,31,1115.3909985899634,923.0000000000001,788632
2,1,1005.1194595499038,870.0,836710
2,2,953.8140161485042,810.0,786079
2,3,1074.013367556003,880.0,617914
2,4,1062.213196924695,883.0,621857
2,5,1073.6982243971272,889.0,663324
2,6,1135.9880119029601,918.0000000000001,739984
2,7,1105.2945390798443,908.0,860789
2,8,1034.7484666523935,894.0,901459
2,9,1000.7904086958918,846.0,762107
2,10,1105.2826876442232,886.0,681236
2,11,1091.8256586305597,896.0,657159
2,12,1076.6576559286777,889.0,677377
2,13,1167.6094976310173,930.0000000000001,746523
2,14,1137.7901518637827,915.0000000000001,886584
2,15,996.7353963142248,857.0,888714
2,16,971.1428307932575,828.0,742760
2,17,986.3396867835422,823.0,582728
2,18,1044.1868500832327,866.0,601327
2,19,1054.899323403283,876.0,643367
2,20,1080.1585806131513,892.0,721551
2,21,1078.316996317574,898.0,822284
2,22,1025.8333946892456,885.0,874678
2,23,1007.6381278463095,851.0,753827
2,24,1088.0931449835891,887.0,628547
2,25,1118.0634384460213,903.0,693034
2,26,1113.735861499258,911.0,714220
2,27,1126.6783078001936,907.0,788583
2,28,1121.3982854643468,918.0000000000001,873356
2,29,1017.3312032876701,871.0,956787
3,1,991.0757581167134,836.0,784246
3,2,1091.8537071677972,897.0,648986
3,3,1113.1090817905658,905.0,697880
3,4,1119.7775354262521,927.0000000000001,707879
3,5,1150.0382649607134,936.0000000000001,731165
3,6,1145.7313454402004,926.0000000000001,872012
3,7,1026.5372537866604,881.0,886071
3,8,1026.3448651709057,842.0,731222
3,9,1072.7688921041752,887.0,628940
3,10,1052.7643078563515,879.0,626474
3,11,1065.3021773748371,886.0,628601
3,12,1107.5412486766566,901.0,643257
3,13,1066.7052248855373,875.0,660914
3,14,910.4210015156385,789.0,569397
3,15,889.8155157601116,763.0,448125
3,16,980.9586506878355,814.0,391518
3,17,941.1632895503653,791.0,312298
3,18,910.1535664408391,772.0,269232
3,19,877.9721054068275,748.0,252773
3,20,881.3442344406262,753.0,261900
3,21,827.2797793691627,711.0,215745
3,22,806.4359695371998,690.0,162165
3,23,809.3613232178925,682.0,162392
3,24,818.9722978981692,701.0,141686
3,25,811.48116778181,695.0,141088
3,26,817.2782207094282,701.0,141607
3,27,827.8653374252381,714.0,159339
3,28,790.8858048766396,677.0,138456
3,29,784.5403620670231,673.0,115393
3,30,807.5890582459105,696.0,132593
3,31,810.1137244307217,698.0,129550
4,1,809.8611546469809,697.0,132075
4,2,809.2422355514568,697.0,131207
4,3,820.2754655019976,704.0,150429
4,4,787.5048912957169,683.0,125938
4,5,783.6732715635931,675.0,107496
4,6,817.5142016396796,705.0,127098
4,7,816.631854909398,703.0,125494
4,8,813.0792285147018,701.0,126924
