tpep_pickup_datetime,tpep_pickup_datetime,tpep_pickup_datetime,duration_mean,duration_median
1,1,169457,1002.243997,606
1,2,162144,969.3209739,616
1,3,183477,955.2968165,607
1,4,182752,915.1367099,583
1,5,164399,930.9708697,553
1,6,179515,921.9806423,599
1,7,201520,914.0784637,611
1,8,217100,928.3413957,620
1,9,231684,984.8813341,658
1,10,228201,993.5481133,664
1,11,217503,958.8513538,628
1,12,186745,925.7749123,595
1,13,209210,984.4949142,647
1,14,217722,962.2784147,648
1,15,217496,972.3080516,653.5
1,16,239657,1002.013544,660
1,17,243682,992.5326573,642
1,18,190158,919.451656,582
1,19,175831,884.9701361,560
1,20,161956,881.3710884,541
1,21,213823,954.8731661,646
1,22,221897,959.1174058,661
1,23,232096,982.9722227,674
1,24,233291,997.4039033,662
1,25,223220,931.9345892,603
1,26,188185,931.4317666,593
1,27,189786,933.3786686,618
1,28,215813,925.5539842,638
1,29,227420,975.5152493,666
1,30,242994,988.1520984,681
1,31,236085,996.3000021,680
2,1,211589,910.9884304,600
2,2,193723,879.2623024,559
2,3,194452,930.2137288,627
2,4,216040,961.1999167,659
2,5,231670,960.4801744,660
2,6,242736,1004.106086,688
2,7,252398,996.2016815,675
2,8,219589,956.3783659,629
2,9,182474,935.4746594,594
2,10,211573,986.9141289,661
2,11,220135,980.5221977,677
2,12,236425,956.7538416,666
2,13,246516,1032.624527,697
2,14,258277,1026.03492,681
2,15,202201,927.590645,618
2,16,165867,932.3605298,593
2,17,148845,891.6316437,561
2,18,190383,960.0588813,653
2,19,216938,980.7909587,664
2,20,237931,977.7708916,689
2,21,237185,987.9475684,676
2,22,209729,948.892323,621
2,23,179707,945.4994519,597
2,24,197782,968.1322264,640
2,25,226546,993.0381247,686
2,26,231329,998.5481025,685
2,27,255937,1005.364058,682
2,28,250820,1002.715326,677
2,29,230254,919.5624224,606
3,1,179723,921.6732305,581
3,2,193508,945.328312,644
3,3,222917,1001.985932,686
3,4,229734,1002.083797,700
3,5,244448,1022.311645,704
3,6,243741,1034.605241,700
3,7,208190,921.9001585,624
3,8,165787,934.4095375,579
3,9,175564,942.4494942,640
3,10,184060,967.7237042,663
3,11,182630,940.6396485,652
3,12,171077,993.9346727,652
3,13,134702,890.0758712,595
3,14,89650,776.7408477,495
3,15,59871,798.0934175,483
3,16,64201,804.4897432,539
3,17,45617,777.3895916,516
3,18,36244,777.8543759,502
3,19,29803,718.1986042,477
3,20,27622,752.5968431,473.5
3,21,16166,668.5627242,440
3,22,10340,689.7642166,435
3,23,13576,699.3005303,437
3,24,11851,665.2704413,439
3,25,11205,642.4731816,445
3,26,10663,672.2373628,445
3,27,11778,700.7319579,452
3,28,7633,708.6570156,408
3,29,5540,623.9068592,431
3,30,9579,680.2667293,438
3,31,9446,675.7674148,444
4,1,9468,670.5992818,443
4,2,8786,652.9075802,439
4,3,10309,641.6371132,438
4,4,6393,710.9809166,439
4,5,5046,666.0158541,437
4,6,8270,668.880653,441
4,7,7886,668.9524474,438
4,8,7915,653.8255212,432
4,9,7827,679.4039862,432
4,10,8585,607.7983692,423
4,11,6267,634.7502792,433
4,12,4432,660.2874549,439
4,13,7469,653.299103,435
4,14,8329,653.7224157,442
4,15,8303,672.39287,449
4,16,8494,615.4547916,437.5
4,17,9669,695.5043955,451
4,18,5808,716.0623278,436
4,19,5122,629.0901991,451
4,20,8134,656.7532579,446
4,21,8080,647.8454208,453
4,22,8624,656.0659787,455
4,23,8720,656.95,453
4,24,9395,730.6004258,459
4,25,7215,662.6458766,465
4,26,4992,703.5763221,469
4,27,8904,699.1889039,469
4,28,9457,711.041768,481
4,29,9683,727.344005,491
4,30,10279,822.0617764,510
5,1,11893,784.6949466,513
5,2,8450,778.1230769,496
5,3,6414,728.1727471,499
5,4,10799,782.2595611,513
5,5,11205,834.3485051,537
5,6,11960,793.9247492,542
5,7,12062,814.682391,551
5,8,13135,857.834488,543
5,9,8609,837.9256592,507
5,10,7605,774.6126233,532
5,11,11885,878.9374842,564
5,12,12188,878.2026584,594
5,13,13019,843.9946232,582
5,14,13210,844.8570023,592
5,15,14576,836.9108123,600
5,16,10256,838.975429,541
5,17,7403,807.9392138,536
5,18,12073,787.9670339,518
5,19,12224,778.2782232,511
5,20,12677,766.2181115,515
5,21,12807,791.0306863,525
5,22,13993,789.4322161,531
5,23,8009,823.1420901,501
5,24,7982,884.7498121,519
5,25,7664,754.5651096,509
5,26,13078,807.1441352,532.5
5,27,14262,830.9125649,540
5,28,13584,765.7581714,538
5,29,15173,776.0687405,522
5,30,11331,817.0981379,526
5,31,8822,776.0330991,523
6,1,14670,831.2770961,556
6,2,14958,853.9712528,574
6,3,14986,852.1040972,544
6,4,15836,845.9090679,559
6,5,16499,895.9572095,571
6,6,12131,932.1609101,570
6,7,9903,928.4902555,557
6,8,16974,843.3715683,546
6,9,17721,831.7723605,545
6,10,18018,814.4464979,546
6,11,17823,858.0979633,554
6,12,20108,882.6957927,566
6,13,14072,825.1878198,540
6,14,10889,-2060.189549,552
6,15,18274,831.8049688,569.5
6,16,19661,859.3038503,578
6,17,19975,877.4667334,576
6,18,20301,877.5318457,576
6,19,22290,897.2232391,589.5
6,20,14803,891.0118219,534
6,21,12829,860.0773248,560
6,22,23092,891.4672614,557
6,23,24666,913.9541069,577
6,24,24942,890.168551,582
6,25,25696,875.4024751,587
6,26,26225,857.6541468,589
6,27,17215,756.759454,513
6,28,15199,811.4279229,521
6,29,24842,844.8655905,577
6,30,25153,886.7525146,598
7,1,25523,901.1310583,583
7,2,27359,888.9084762,590
7,3,20377,819.791088,502
7,4,14476,862.3658469,534
7,5,14450,855.6743945,552
7,6,24504,913.3756938,561
7,7,26050,874.0740883,566
7,8,27038,880.2876322,581
7,9,28953,883.2640832,591
7,10,24093,918.5153364,579
7,11,18583,832.9055588,497
7,12,17086,830.4261969,545.5
7,13,25869,789.3021377,560
7,14,28472,885.9943102,582
7,15,29303,913.1808347,589
7,16,29279,897.6039824,592
7,17,27890,891.5018286,583
7,18,21798,-641.216029,526
7,19,17010,864.9503821,536.5
7,20,27104,849.0629796,545
7,21,29470,852.2002375,572
7,22,31478,897.0153758,585
7,23,30117,843.3678985,571
7,24,29194,929.6266356,589
7,25,24142,822.4160799,538
7,26,17541,922.9919617,537
7,27,28731,871.0078313,551
7,28,31953,876.4481895,570
7,29,34146,908.4150706,582
7,30,33873,910.937738,583
7,31,34540,960.2660394,621
8,1,27644,847.748336,536
8,2,19455,795.7228476,516
8,3,32429,867.3167227,559
8,4,26186,837.0141679,535
8,5,35980,918.2846304,609
8,6,36490,895.4051521,601
8,7,35530,899.2622854,587
8,8,26838,820.9148595,519
8,9,21514,857.0842242,522
8,10,32457,896.4101735,557
8,11,35234,872.3444968,570
8,12,36875,911.2401627,590
8,13,35772,910.1419826,601
8,14,36994,968.3725739,599
8,15,29442,845.189729,541
8,16,19068,806.0285295,531
8,17,32680,890.9653611,573
8,18,36726,897.9876926,600
8,19,36612,940.5400415,603
8,20,38725,898.184816,600
8,21,38423,919.2383208,595
8,22,30751,839.9440343,532
8,23,23241,825.1973667,540
8,24,34475,898.5929804,567
8,25,38696,900.9147199,594
8,26,39507,942.1518718,607
8,27,38536,988.4504879,611
8,28,39866,950.8427733,600
8,29,28032,826.5043522,522
8,30,27078,899.0780338,561
8,31,36012,927.0068311,591
9,1,39687,935.3875576,599
9,2,41527,862.0680039,584
9,3,43060,949.3446354,594
9,4,41981,931.0064315,589
9,5,30987,888.8675251,535
9,6,25360,855.6042587,533
9,7,25354,888.5155794,520
9,8,43457,923.4464413,594
9,9,47655,952.3660057,615
9,10,48295,926.3033854,601
9,11,50521,937.1110627,609
9,12,41372,827.7478488,549
9,13,29470,774.7504581,528
9,14,44625,923.2130868,589
9,15,49742,957.2846689,607
9,16,51389,909.8546382,604
9,17,53075,947.1916533,621
9,18,54215,935.6215807,606
9,19,43830,885.7172256,545
9,20,33836,837.9795484,540
9,21,46215,902.579617,583
9,22,51190,921.9963665,600
9,23,54777,942.1064315,609
9,24,56284,966.5157061,624
9,25,58829,989.4198949,627
9,26,47145,903.6440556,553
9,27,35557,839.5432404,521
9,28,41203,846.5059826,536
9,29,54054,970.482906,626
9,30,56186,943.6410138,625
10,1,60592,996.2165632,649
10,2,59080,991.872698,626
10,3,49245,882.1599553,565
10,4,34482,850.7976625,530
10,5,47726,892.1224699,590
10,6,54156,926.7491137,604
10,7,57134,930.528827,614
10,8,59721,958.5114114,635
10,9,58173,965.1941107,621
10,10,48185,914.4626336,578
10,11,34442,827.1081238,536
10,12,42638,835.1279141,523
10,13,54557,961.7942702,625
10,14,59294,934.0003373,625
10,15,62948,993.159592,648
10,16,58372,954.7330056,614
10,17,52077,896.5748411,573
10,18,38795,866.8804743,543
10,19,51191,898.1328163,587
10,20,57412,901.3453111,605
10,21,59138,918.9557814,616
10,22,62159,1001.717225,641
10,23,61789,940.2290213,612
10,24,53349,885.0742657,561
10,25,39439,853.6961891,533
10,26,53401,910.2813618,591
10,27,59660,932.9213711,601.5
10,28,62978,902.2206326,622
10,29,64845,960.2228545,636
10,30,66249,925.9470784,602
10,31,57872,894.0924972,550
11,1,42852,1076.609026,522
11,2,55256,905.7646228,603
11,3,49758,832.522931,554
11,4,49168,859.1806866,582
11,5,57463,917.0294972,624
11,6,60808,912.1271379,616
11,7,55121,917.4649226,584
11,8,41848,864.4890317,557
11,9,51948,889.1430276,593
11,10,62154,934.2653731,626
11,11,58527,871.3310951,596
11,12,62237,904.1465206,620
11,13,63099,897.0326788,606
11,14,52007,874.3405695,569
11,15,34895,800.1424846,522
11,16,52148,898.68785,606
11,17,59506,922.8544517,627
11,18,62063,919.2094162,634
11,19,61125,910.4192229,631
11,20,61902,946.744774,626
11,21,48758,904.7652283,571
11,22,32720,833.1876528,508
11,23,52550,872.7420552,590
11,24,56335,942.9975149,620
11,25,51859,922.5790895,591
11,26,24923,766.3018497,500
11,27,34264,854.4711651,522
11,28,35806,872.5362509,544
11,29,31811,865.2239163,545
11,30,45962,853.2245986,575
12,1,54833,915.2818011,604
12,2,55885,865.7878143,590
12,3,56776,880.8341377,601
12,4,57389,894.572601,593
12,5,42775,836.3787493,525
12,6,37198,801.8099629,529
12,7,50664,859.4934075,570
12,8,56720,887.2109661,594
12,9,57622,916.6073028,602
12,10,59288,942.2127412,623
12,11,61194,917.1782691,600
12,12,46618,874.3070059,550
12,13,38726,897.5486237,560
12,14,51467,906.6314337,589
12,15,60886,920.6737181,633
12,16,50672,875.5269774,575
12,17,26421,821.0288785,517
12,18,59318,1000.665447,677
12,19,44091,878.1048513,583
12,20,31681,862.5165872,531
12,21,51526,990.9388464,644
12,22,56169,999.3794086,648
12,23,56755,1047.133063,656
12,24,44483,854.6845536,514
12,25,19110,868.666405,522
12,26,28407,839.6796916,524
12,27,25892,920.5580874,560
12,28,40985,872.1464438,570
12,29,45866,902.0960842,564
12,30,47650,897.878405,579
12,31,44796,821.3798107,520
