tpep_pickup_datetime,tpep_pickup_datetime,duration_mean,duration_median
1,1,1002.243997,606
1,2,969.3209739,616
1,3,955.2968165,607
1,4,915.1367099,583
1,5,930.9708697,553
1,6,921.9806423,599
1,7,914.0784637,611
1,8,928.3413957,620
1,9,984.8813341,658
1,10,993.5481133,664
1,11,958.8513538,628
1,12,925.7749123,595
1,13,984.4949142,647
1,14,962.2784147,648
1,15,972.3080516,653.5
1,16,1002.013544,660
1,17,992.5326573,642
1,18,919.451656,582
1,19,884.9701361,560
1,20,881.3710884,541
1,21,954.8731661,646
1,22,959.1174058,661
1,23,982.9722227,674
1,24,997.4039033,662
1,25,931.9345892,603
1,26,931.4317666,593
1,27,933.3786686,618
1,28,925.5539842,638
1,29,975.5152493,666
1,30,988.1520984,681
1,31,996.3000021,680
2,1,910.9884304,600
2,2,879.2623024,559
2,3,930.2137288,627
2,4,961.1999167,659
2,5,960.4801744,660
2,6,1004.106086,688
2,7,996.2016815,675
2,8,956.3783659,629
2,9,935.4746594,594
2,10,986.9141289,661
2,11,980.5221977,677
2,12,956.7538416,666
2,13,1032.624527,697
2,14,1026.03492,681
2,15,927.590645,618
2,16,932.3605298,593
2,17,891.6316437,561
2,18,960.0588813,653
2,19,980.7909587,664
2,20,977.7708916,689
2,21,987.9475684,676
2,22,948.892323,621
2,23,945.4994519,597
2,24,968.1322264,640
2,25,993.0381247,686
2,26,998.5481025,685
2,27,1005.364058,682
2,28,1002.715326,677
2,29,919.5624224,606
3,1,921.6732305,581
3,2,945.328312,644
3,3,1001.985932,686
3,4,1002.083797,700
3,5,1022.311645,704
3,6,1034.605241,700
3,7,921.9001585,624
3,8,934.4095375,579
3,9,942.4494942,640
3,10,967.7237042,663
3,11,940.6396485,652
3,12,993.9346727,652
3,13,890.0758712,595
3,14,776.7408477,495
3,15,798.0934175,483
3,16,804.4897432,539
3,17,777.3895916,516
3,18,777.8543759,502
3,19,718.1986042,477
3,20,752.5968431,473.5
3,21,668.5627242,440
3,22,689.7642166,435
3,23,699.3005303,437
3,24,665.2704413,439
3,25,642.4731816,445
3,26,672.2373628,445
3,27,700.7319579,452
3,28,708.6570156,408
3,29,623.9068592,431
3,30,680.2667293,438
3,31,675.7674148,444
4,1,670.5992818,443
4,2,652.9075802,439
4,3,641.6371132,438
4,4,710.9809166,439
4,5,666.0158541,437
4,6,668.880653,441
4,7,668.9524474,438
4,8,653.8255212,432
4,9,679.4039862,432
4,10,607.7983692,423
4,11,634.7502792,433
4,12,660.2874549,439
4,13,653.299103,435
4,14,653.7224157,442
4,15,672.39287,449
4,16,615.4547916,437.5
4,17,695.5043955,451
4,18,716.0623278,436
4,19,629.0901991,451
4,20,656.7532579,446
4,21,647.8454208,453
4,22,656.0659787,455
4,23,656.95,453
4,24,730.6004258,459
4,25,662.6458766,465
4,26,703.5763221,469
4,27,699.1889039,469
4,28,711.041768,481
4,29,727.344005,491
4,30,822.0617764,510
5,1,784.6949466,513
5,2,778.1230769,496
5,3,728.1727471,499
5,4,782.2595611,513
5,5,834.3485051,537
5,6,793.9247492,542
5,7,814.682391,551
5,8,857.834488,543
5,9,837.9256592,507
5,10,774.6126233,532
5,11,878.9374842,564
5,12,878.2026584,594
5,13,843.9946232,582
5,14,844.8570023,592
5,15,836.9108123,600
5,16,838.975429,541
5,17,807.9392138,536
5,18,787.9670339,518
5,19,778.2782232,511
5,20,766.2181115,515
5,21,791.0306863,525
5,22,789.4322161,531
5,23,823.1420901,501
5,24,884.7498121,519
5,25,754.5651096,509
5,26,807.1441352,532.5
5,27,830.9125649,540
5,28,765.7581714,538
5,29,776.0687405,522
5,30,817.0981379,526
5,31,776.0330991,523
6,1,831.2770961,556
6,2,853.9712528,574
6,3,852.1040972,544
6,4,845.9090679,559
6,5,895.9572095,571
6,6,932.1609101,570
